PlanId,StepId,StepInfo,ActionType,ActionName,Input,Output,Expected,Critical
PReuse_Math_OpenSite,1,Open browser,xUI,xOpenBrowser,edge,,,y
PReuse_Math_OpenSite,2,Navigate to app,xUI,xNavigate,base_url,,http://example.com,y
PReuse_Math_OpenSite,3,Verify body present,xUI,xGetText,body_locator,,,y
PMath_T1_Test_Addition_Functionali,1,Open site,xReuse,PReuse_Math_OpenSite,,,,y
PMath_T1_Test_Addition_Functionali,2,Verify: Test Addition Functionality,xUI,xGetText,body_locator,,,y
PMath_T2_Test_Subtraction_Function,1,Open site,xReuse,PReuse_Math_OpenSite,,,,y
PMath_T2_Test_Subtraction_Function,2,Verify: Test Subtraction Functionality,xUI,xGetText,body_locator,,,y
PMath_T3_Test_Multiplication_Funct,1,Open site,xReuse,PReuse_Math_OpenSite,,,,y
PMath_T3_Test_Multiplication_Funct,2,Verify: Test Multiplication Functionality,xUI,xGetText,body_locator,,,y
PMath_T4_Test_Division_Functionali,1,Open site,xReuse,PReuse_Math_OpenSite,,,,y
PMath_T4_Test_Division_Functionali,2,Verify: Test Division Functionality,xUI,xGetText,body_locator,,,y
PMath_T5_Test_Square_Root_Function,1,Open site,xReuse,PReuse_Math_OpenSite,,,,y
PMath_T5_Test_Square_Root_Function,2,Verify: Test Square Root Functionality,xUI,xGetText,body_locator,,,y
PMath_T6_Test_Exponentiation_Funct,1,Open site,xReuse,PReuse_Math_OpenSite,,,,y
PMath_T6_Test_Exponentiation_Funct,2,Verify: Test Exponentiation Functionality,xUI,xGetText,body_locator,,,y
PMath_T9_Test_Invalid_Input_Handli,1,Open site,xReuse,PReuse_Math_OpenSite,,,,y
PMath_T9_Test_Invalid_Input_Handli,2,Verify: Test Invalid Input Handling,xUI,xGetText,body_locator,,,y
PMath_T11_Test_Performance_of_Calc,1,Open site,xReuse,PReuse_Math_OpenSite,,,,y
PMath_T11_Test_Performance_of_Calc,2,Verify: Test Performance of Calculations,xUI,xGetText,body_locator,,,y
PMath_Man_T7_Test_Graphing_Linear_Func,1,Manual: Test Graphing Linear Functions,xUI,xGetText,body_locator,,,n
PMath_Man_T8_Test_Graphing_Quadratic_F,1,Manual: Test Graphing Quadratic Functions,xUI,xGetText,body_locator,,,n
PMath_Man_T10_Test_Mobile_Layout,1,Manual: Test Mobile Layout,xUI,xGetText,body_locator,,,n
PMath_Man_T12_Test_User_Interface_for_,1,Manual: Test User Interface for Accessibility,xUI,xGetText,body_locator,,,n
