PlanId,StepId,StepInfo,ActionType,ActionName,Input,Output,Expected,Critical
PReuse_A77_Open,1,Open Edge,xUI,xOpenBrowser,edge,,,Y
PReuse_A77_Open,2,Navigate home,xUI,xNavigate,base_url,,,Y
PReuse_A77_Open,3,Wait SPA,xTime,xTimeWait,3,,,Y
PReuse_A77_Open,4,Body present,xUI,xGetText,body_locator,,,Y
PA77_Smoke_HomeHero,1,Open Edge,xUI,xOpenBrowser,edge,,,Y
PA77_Smoke_HomeHero,2,Navigate home,xUI,xNavigate,base_url,,,Y
PA77_Smoke_HomeHero,3,Wait SPA,xTime,xTimeWait,3,,,Y
PA77_Smoke_HomeHero,4,Title,xUI,xGetTitle,,,page_title_home,Y
PA77_Smoke_HomeHero,5,Hero,xUI,xGetText,body_locator,,heading_hero,Y
PA77_Smoke_HomeHero,6,No CC,xUI,xGetText,body_locator,,text_no_cc,Y
PA77_Smoke_BrahlLoopSection,1,Open site,xReuse,PReuse_A77_Open,,,,Y
PA77_Smoke_BrahlLoopSection,2,Navigate,xUI,xNavigate,base_url,,,Y
PA77_Smoke_BrahlLoopSection,3,Wait,xTime,xTimeWait,2,,,Y
PA77_Smoke_BrahlLoopSection,4,BRAHL LOOP,xUI,xGetText,body_locator,,heading_brahl_loop,Y
PA77_Smoke_BrahlLoopSection,5,BUILD,xUI,xGetText,body_locator,,BUILD,Y
PA77_Smoke_BrahlLoopSection,6,FoXYiZ mention,xUI,xGetText,body_locator,,text_foxyiz,Y
PA77_Smoke_FeatureStrip,1,Open site,xReuse,PReuse_A77_Open,,,,Y
PA77_Smoke_FeatureStrip,2,Navigate,xUI,xNavigate,base_url,,,Y
PA77_Smoke_FeatureStrip,3,Wait,xTime,xTimeWait,2,,,Y
PA77_Smoke_FeatureStrip,4,Roadmap,xUI,xGetText,body_locator,,text_feature_roadmap,Y
PA77_Smoke_FeatureStrip,5,Content,xUI,xGetText,body_locator,,text_feature_content,Y
PA77_Smoke_FeatureStrip,6,SEO,xUI,xGetText,body_locator,,text_feature_seo,Y
PA77_Smoke_FeatureStrip,7,Social,xUI,xGetText,body_locator,,text_feature_social,Y
PA77_Smoke_Testimonials,1,Open site,xReuse,PReuse_A77_Open,,,,Y
PA77_Smoke_Testimonials,2,Navigate,xUI,xNavigate,base_url,,,Y
PA77_Smoke_Testimonials,3,Wait,xTime,xTimeWait,2,,,Y
PA77_Smoke_Testimonials,4,Testimonials heading,xUI,xGetText,body_locator,,heading_testimonials,Y
PA77_Smoke_Testimonials,5,Quote present,xUI,xGetText,body_locator,,Sarah K.,Y
PA77_Smoke_Portfolio,1,Open site,xReuse,PReuse_A77_Open,,,,Y
PA77_Smoke_Portfolio,2,Navigate,xUI,xNavigate,base_url,,,Y
PA77_Smoke_Portfolio,3,Wait,xTime,xTimeWait,2,,,Y
PA77_Smoke_Portfolio,4,Portfolio heading,xUI,xGetText,body_locator,,heading_portfolio,Y
PA77_Smoke_Portfolio,5,Atomic card,xUI,xGetText,body_locator,,Atomic 77,Y
PA77_Smoke_Portfolio,6,QAonAir card,xUI,xGetText,body_locator,,text_qaonair,Y
PA77_Smoke_PricingTiers,1,Open site,xReuse,PReuse_A77_Open,,,,Y
PA77_Smoke_PricingTiers,2,Navigate,xUI,xNavigate,pricing_url,,,Y
PA77_Smoke_PricingTiers,3,Wait,xTime,xTimeWait,2,,,Y
PA77_Smoke_PricingTiers,4,Title,xUI,xGetTitle,,,page_title_pricing,Y
PA77_Smoke_PricingTiers,5,Free tier,xUI,xGetText,body_locator,,text_tier_free,Y
PA77_Smoke_PricingTiers,6,AI tier,xUI,xGetText,body_locator,,text_tier_ai,Y
PA77_Smoke_PricingTiers,7,Build tier,xUI,xGetText,body_locator,,Choose Build,Y
PA77_Smoke_PricingTiers,8,FoXYiZ BRAHL,xUI,xGetText,body_locator,,text_foxyiz,Y
PA77_Smoke_Login,1,Open site,xReuse,PReuse_A77_Open,,,,Y
PA77_Smoke_Login,2,Navigate,xUI,xNavigate,login_url,,,Y
PA77_Smoke_Login,3,Wait,xTime,xTimeWait,2,,,Y
PA77_Smoke_Login,4,Title,xUI,xGetTitle,,,page_title_login,Y
PA77_Smoke_Login,5,Welcome,xUI,xGetText,body_locator,,heading_welcome,Y
PA77_Smoke_Login,6,Google,xUI,xGetText,body_locator,,Continue with Google,Y
PA77_Smoke_Login,7,Email field,xUI,xGetText,input_email,,,Y
PA77_Smoke_Register,1,Open site,xReuse,PReuse_A77_Open,,,,Y
