PlanId,StepId,StepInfo,ActionType,ActionName,Input,Output,Expected,Critical
PReuse_AppWars_Open,1,Open Edge,xUI,xOpenBrowser,edge,,,Y
PReuse_AppWars_Open,2,Home,xUI,xNavigate,base_url,,,Y
PReuse_AppWars_Open,3,Wait,xTime,xTimeWait,3,,,Y
PAppWars_Smoke_Home,1,Open,xReuse,PReuse_AppWars_Open,,,,Y
PAppWars_Smoke_Home,2,Title,xUI,xGetTitle,,,page_title_home,Y
PAppWars_Smoke_Home,3,Brand,xUI,xGetText,body_locator,,text_brand,Y
PAppWars_Smoke_Home,4,Battle,xUI,xGetText,body_locator,,text_build_battle,Y
PAppWars_Smoke_Home,5,Crowned,xUI,xGetText,body_locator,,text_crowned,Y
PAppWars_Smoke_Home,6,Enter,xUI,xGetText,body_locator,,text_enter,Y
PAppWars_Smoke_EnterLogin,1,Open,xReuse,PReuse_AppWars_Open,,,,Y
PAppWars_Smoke_EnterLogin,2,Click enter,xUI,xClick,btn_enter,,,Y
PAppWars_Smoke_EnterLogin,3,Wait,xTime,xTimeWait,3,,,Y
PAppWars_Smoke_EnterLogin,4,Welcome,xUI,xGetText,body_locator,,text_welcome,Y
PAppWars_Smoke_EnterLogin,5,Google,xUI,xGetText,body_locator,,text_google,Y
PAppWars_Smoke_Support,1,Open,xReuse,PReuse_AppWars_Open,,,,Y
PAppWars_Smoke_Support,2,Support,xUI,xNavigate,support_url,,,Y
PAppWars_Smoke_Support,3,Wait,xTime,xTimeWait,3,,,Y
PAppWars_Smoke_Support,4,Help,xUI,xGetText,body_locator,,text_support,Y
PAppWars_Smoke_Privacy,1,Open,xReuse,PReuse_AppWars_Open,,,,Y
PAppWars_Smoke_Privacy,2,Privacy,xUI,xNavigate,privacy_url,,,Y
PAppWars_Smoke_Privacy,3,Wait,xTime,xTimeWait,3,,,Y
PAppWars_Smoke_Privacy,4,Policy,xUI,xGetText,body_locator,,text_privacy,Y
PAppWars_Smoke_Terms,1,Open,xReuse,PReuse_AppWars_Open,,,,Y
PAppWars_Smoke_Terms,2,Terms,xUI,xNavigate,terms_url,,,Y
PAppWars_Smoke_Terms,3,Wait,xTime,xTimeWait,3,,,Y
PAppWars_Smoke_Terms,4,Legal,xUI,xGetText,body_locator,,text_terms,Y
PAppWars_Smoke_BrahlConclusion,1,Open,xReuse,PReuse_AppWars_Open,,,,Y
PAppWars_Smoke_BrahlConclusion,2,Battle,xUI,xGetText,body_locator,,text_build_battle,Y
PAppWars_Smoke_BrahlConclusion,3,API,xAPI,xGet,api_host;ep_home,,200,Y
PAppWars_UI_ValueProps,1,Open,xReuse,PReuse_AppWars_Open,,,,Y
PAppWars_UI_ValueProps,2,Pressure,xUI,xGetText,body_locator,,text_pressure,Y
PAppWars_UI_ValueProps,3,Community,xUI,xGetText,body_locator,,text_community,Y
PAppWars_UI_ValueProps,4,Prizes,xUI,xGetText,body_locator,,text_prizes,Y
PAppWars_UI_LoginGoogle,1,Open Edge,xUI,xOpenBrowser,edge,,,Y
PAppWars_UI_LoginGoogle,2,Login,xUI,xNavigate,login_url,,,Y
PAppWars_UI_LoginGoogle,3,Wait,xTime,xTimeWait,3,,,Y
PAppWars_UI_LoginGoogle,4,Google,xUI,xGetText,body_locator,,text_google,Y
PAppWars_Edge_Soft404,1,Open Edge,xUI,xOpenBrowser,edge,,,Y
PAppWars_Edge_Soft404,2,Unknown,xUI,xNavigate,unknown_url,,,Y
PAppWars_Edge_Soft404,3,Wait,xTime,xTimeWait,2,,,Y
PAppWars_Edge_Soft404,4,Still landing,xUI,xGetText,body_locator,,text_soft404,Y
PAppWars_API_GetHome,1,GET,xAPI,xGet,api_host;ep_home,,200,Y
PAppWars_API_Favicon,1,GET,xAPI,xGet,api_host;ep_favicon,,200,Y
PAppWars_API_Robots,1,GET,xAPI,xGet,api_host;ep_robots,,200,Y
PAppWars_API_UnknownSpa,1,GET,xAPI,xGet,api_host;ep_unknown,,200,Y
PAppWars_Sec_HttpsHost,1,Open,xReuse,PReuse_AppWars_Open,,,,Y
PAppWars_Sec_HttpsHost,2,Brand,xUI,xGetText,body_locator,,text_brand,Y
PAppWars_Perf_HomeLoad,1,Open Edge,xUI,xOpenBrowser,edge,,,Y
PAppWars_Perf_HomeLoad,2,Start,xUI,xStartTimer,,,,Y
PAppWars_Perf_HomeLoad,3,Nav,xUI,xNavigate,base_url,,,Y
PAppWars_Perf_HomeLoad,4,Stop,xUI,xStopTimer,elapsed,,,Y
PAppWars_Perf_HomeLoad,5,Budget,xUI,xAssertLessThan,{{step:4}};15000,,,Y
PAppWars_Perf_HomeLoad,6,Alive,xUI,xGetText,body_locator,,text_enter,Y
PAppWars_Manual_Tournament,1,Open,xReuse,PReuse_AppWars_Open,,,,N
PAppWars_Manual_Tournament,2,Note,xUI,xGetText,body_locator,,text_enter,N
PAppWars_Manual_Vote,1,Open,xReuse,PReuse_AppWars_Open,,,,N
PAppWars_Manual_Vote,2,Note,xUI,xGetText,body_locator,,text_community,N
