PlanId,PlanName,DesignId,Run,Tags,Output,CreatedBy,CreatedAt
PReuse_Haunt_Open,Open Edge and load Haunted Castle,D1,N,Reuse,site_loaded,QA_Hunter+BRAHL_Wave1,2026-07-21T06:53:40+00:00
PHaunt_Smoke_Home,Landing title + Enter CTA,D1,Y,haunted_castle;Smoke;Home;Landing,home_ok,QA_Hunter+BRAHL_Wave1,2026-07-21T06:53:40+00:00
PHaunt_Smoke_Controls,WASD / arrow control copy,D1,Y,haunted_castle;Smoke;Controls,controls_ok,QA_Hunter+BRAHL_Wave1,2026-07-21T06:53:40+00:00
PHaunt_Smoke_LangToggle,Hebrew + English language buttons,D1,Y,haunted_castle;Smoke;Lang,lang_ok,QA_Hunter+BRAHL_Wave1,2026-07-21T06:53:40+00:00
PHaunt_Smoke_TopBadge,Base44 top apps badge,D1,Y,haunted_castle;Smoke;Badge,badge_ok,QA_Hunter+BRAHL_Wave1,2026-07-21T06:53:40+00:00
PHaunt_Smoke_BrahlConclusion,BRAHL conclusion — Haunted Castle shell ready,D1,Y,haunted_castle;Smoke;BRAHL;Conclusion,brahl_conclusion,QA_Hunter+BRAHL_Wave1,2026-07-21T06:53:40+00:00
PHaunt_UI_EnterVisible,Enter the Castle CTA visible,D1,Y,haunted_castle;UI;CTA,enter_ok,QA_Hunter+BRAHL_Wave1,2026-07-21T06:53:40+00:00
PHaunt_UI_EnterLoading,Enter shows loading mummy progress,D1,Y,haunted_castle;UI;Game;Load,load_ok,QA_Hunter+BRAHL_Wave1,2026-07-21T06:53:40+00:00
PHaunt_Edge_Unknown404,Unknown path Page Not Found,D1,Y,haunted_castle;Edge;404,edge_404,QA_Hunter+BRAHL_Wave1,2026-07-21T06:53:40+00:00
PHaunt_API_GetHome,GET / 200,D1,Y,haunted_castle;API;Home,api_home,QA_Hunter+BRAHL_Wave1,2026-07-21T06:53:40+00:00
PHaunt_API_Favicon,GET favicon 200,D1,Y,haunted_castle;API;Favicon,api_favicon,QA_Hunter+BRAHL_Wave1,2026-07-21T06:53:40+00:00
PHaunt_API_Robots,GET robots 200,D1,Y,haunted_castle;API;Robots,api_robots,QA_Hunter+BRAHL_Wave1,2026-07-21T06:53:40+00:00
PHaunt_API_UnknownSpa,GET unknown SPA 200,D1,Y,haunted_castle;API;404,api_unknown,QA_Hunter+BRAHL_Wave1,2026-07-21T06:53:40+00:00
PHaunt_Sec_HttpsHost,HTTPS host,D1,Y,haunted_castle;Security;Landing,sec_https,QA_Hunter+BRAHL_Wave1,2026-07-21T06:53:40+00:00
PHaunt_Perf_HomeLoad,Home load under 15s,D1,Y,haunted_castle;Perf;Home,perf_home,QA_Hunter+BRAHL_Wave1,2026-07-21T06:53:40+00:00
PHaunt_Manual_Explore3D,HITL: explore castle WebGL,D1,N,haunted_castle;Manual;Game;3D,hitl_3d,QA_Hunter+BRAHL_Wave1,2026-07-21T06:53:40+00:00
PHaunt_Manual_Monsters,HITL: approach monsters audio,D1,N,haunted_castle;Manual;Game;Audio,hitl_audio,QA_Hunter+BRAHL_Wave1,2026-07-21T06:53:40+00:00
