PlanId,StepId,StepInfo,ActionType,ActionName,Input,Output,Expected,Critical
PReuse_Life_Open,1,Open Edge,xUI,xOpenBrowser,edge,,,Y
PReuse_Life_Open,2,Home,xUI,xNavigate,base_url,,,Y
PReuse_Life_Open,3,Wait lang,xTime,xTimeWait,2,,,Y
PReuse_Life_Open,4,English,xUI,xClick,btn_english,,,Y
PReuse_Life_Open,5,Wait home,xTime,xTimeWait,3,,,Y
PLife_Smoke_Home,1,Open,xReuse,PReuse_Life_Open,,,,Y
PLife_Smoke_Home,2,Title,xUI,xGetTitle,,,page_title_home,Y
PLife_Smoke_Home,3,Become,xUI,xGetText,body_locator,,text_become,Y
PLife_Smoke_Home,4,Build plan,xUI,xGetText,body_locator,,text_build_plan,Y
PLife_Smoke_Home,5,Explore,xUI,xGetText,body_locator,,text_explore,Y
PLife_Smoke_Learn,1,Open,xReuse,PReuse_Life_Open,,,,Y
PLife_Smoke_Learn,2,Learn,xUI,xNavigate,learn_url,,,Y
PLife_Smoke_Learn,3,Wait,xTime,xTimeWait,3,,,Y
PLife_Smoke_Learn,4,Title,xUI,xGetTitle,,,page_title_learn,Y
PLife_Smoke_Learn,5,Learning,xUI,xGetText,body_locator,,text_learning,Y
PLife_Smoke_Pricing,1,Open,xReuse,PReuse_Life_Open,,,,Y
PLife_Smoke_Pricing,2,Pricing,xUI,xNavigate,pricing_url,,,Y
PLife_Smoke_Pricing,3,Wait,xTime,xTimeWait,3,,,Y
PLife_Smoke_Pricing,4,Title,xUI,xGetTitle,,,page_title_pricing,Y
PLife_Smoke_Pricing,5,Support,xUI,xGetText,body_locator,,text_choose_support,Y
PLife_Smoke_Login,1,Open Edge,xUI,xOpenBrowser,edge,,,Y
PLife_Smoke_Login,2,Login,xUI,xNavigate,login_url,,,Y
PLife_Smoke_Login,3,Wait,xTime,xTimeWait,3,,,Y
PLife_Smoke_Login,4,Welcome,xUI,xGetText,body_locator,,text_welcome,Y
PLife_Smoke_Login,5,Google,xUI,xGetText,body_locator,,text_google,Y
PLife_Smoke_Register,1,Open Edge,xUI,xOpenBrowser,edge,,,Y
PLife_Smoke_Register,2,Register,xUI,xNavigate,register_url,,,Y
PLife_Smoke_Register,3,Wait,xTime,xTimeWait,3,,,Y
PLife_Smoke_Register,4,Create,xUI,xGetText,body_locator,,text_create_account,Y
PLife_Smoke_Register,5,Google,xUI,xGetText,body_locator,,text_google,Y
PLife_Smoke_About,1,Open,xReuse,PReuse_Life_Open,,,,Y
