Type,DataName,D1,D2,D3,D4,D5,D6,D7,D8,D9
UI,base_url,https://nalanda.base44.app/,https://nalanda.base44.app/,https://nalanda.base44.app/,https://nalanda.base44.app/,https://nalanda.base44.app/,https://nalanda.base44.app/,https://nalanda.base44.app/,https://nalanda.base44.app/,https://nalanda.base44.app/
UI,explore_url,https://nalanda.base44.app/explore,https://nalanda.base44.app/explore,https://nalanda.base44.app/explore,https://nalanda.base44.app/explore,https://nalanda.base44.app/explore,https://nalanda.base44.app/explore,https://nalanda.base44.app/explore,https://nalanda.base44.app/explore,https://nalanda.base44.app/explore
UI,learning_path_url,https://nalanda.base44.app/LearningPath,https://nalanda.base44.app/LearningPath,https://nalanda.base44.app/LearningPath,https://nalanda.base44.app/LearningPath,https://nalanda.base44.app/LearningPath,https://nalanda.base44.app/LearningPath,https://nalanda.base44.app/LearningPath,https://nalanda.base44.app/LearningPath,https://nalanda.base44.app/LearningPath
UI,quiz_url,https://nalanda.base44.app/Quiz,https://nalanda.base44.app/Quiz,https://nalanda.base44.app/Quiz,https://nalanda.base44.app/Quiz,https://nalanda.base44.app/Quiz,https://nalanda.base44.app/Quiz,https://nalanda.base44.app/Quiz,https://nalanda.base44.app/Quiz,https://nalanda.base44.app/Quiz
UI,ai_tutor_url,https://nalanda.base44.app/ai-tutor,https://nalanda.base44.app/ai-tutor,https://nalanda.base44.app/ai-tutor,https://nalanda.base44.app/ai-tutor,https://nalanda.base44.app/ai-tutor,https://nalanda.base44.app/ai-tutor,https://nalanda.base44.app/ai-tutor,https://nalanda.base44.app/ai-tutor,https://nalanda.base44.app/ai-tutor
UI,body_locator,css=body,css=body,css=body,css=body,css=body,css=body,css=body,css=body,css=body
UI,h1_locator,css=h1,css=h1,css=h1,css=h1,css=h1,css=h1,css=h1,css=h1,css=h1
UI,title_locator,css=title,css=title,css=title,css=title,css=title,css=title,css=title,css=title,css=title
UI,landing_title_expected,Nalanda - SkillFlow AI,Nalanda - SkillFlow AI,Nalanda - SkillFlow AI,Nalanda - SkillFlow AI,Nalanda - SkillFlow AI,Nalanda - SkillFlow AI,Nalanda - SkillFlow AI,Nalanda - SkillFlow AI,Nalanda - SkillFlow AI
UI,explore_title_expected,Explore | Nalanda - SkillFlow AI,Explore | Nalanda - SkillFlow AI,Explore | Nalanda - SkillFlow AI,Explore | Nalanda - SkillFlow AI,Explore | Nalanda - SkillFlow AI,Explore | Nalanda - SkillFlow AI,Explore | Nalanda - SkillFlow AI,Explore | Nalanda - SkillFlow AI,Explore | Nalanda - SkillFlow AI
UI,page_title_contains,Nalanda,,,,,,,,
UI,persona_id,p1,p2,p3,p4,p5,p6,p7,p8,p9
UI,persona_code,P1,P2,P3,P4,P5,P6,P7,P8,P9
UI,persona_name,Alex Chen,Jordan Lee,Sam Rivera,Dr. Priya Nair,Chris Martinez,Morgan Admin,Taylor Kim,Riley Okonkwo,Casey Nguyen
UI,default_avatar,client,client,consultant,consultant,client,client,client,consultant,client
UI,can_switch_client,Y,Y,N,N,Y,Y,Y,N,Y
UI,can_switch_hitl,N,Y,Y,Y,N,Y,N,Y,N
UI,login_email,,,,,,,,,
UI,login_password,,,,,,,,,
UI,login_url,https://nalanda.base44.app/login,https://nalanda.base44.app/login,https://nalanda.base44.app/login,https://nalanda.base44.app/login,https://nalanda.base44.app/login,https://nalanda.base44.app/login,https://nalanda.base44.app/login,https://nalanda.base44.app/login,https://nalanda.base44.app/login
