PlanId,StepId,StepInfo,ActionType,ActionName,Input,Output,Expected,Critical
PReuse_NalandaApp_OpenSite,1,Open browser,xUI,xOpenBrowser,edge,,,y
PReuse_NalandaApp_OpenSite,2,Navigate to app,xUI,xNavigate,base_url,,,y
PReuse_NalandaApp_OpenSite,3,Verify body present,xUI,xGetText,body_locator,,,y
PNalandaApp_T1_Smoke_Test_Explore_Route,1,Open site,xReuse,PReuse_NalandaApp_OpenSite,,,,y
PNalandaApp_T1_Smoke_Test_Explore_Route,2,Navigate (explore_url),xUI,xNavigate,explore_url,,,y
PNalandaApp_T1_Smoke_Test_Explore_Route,3,Verify: Smoke Test: Explore Route,xUI,xGetText,body_locator,,,y
PNalandaApp_T1_Smoke_Test_Explore_Route,4,Verify page title,xUI,xGetTitle,,,page_title_contains,y
PNalandaApp_T2_Smoke_Test_Learning_Path_,1,Open site,xReuse,PReuse_NalandaApp_OpenSite,,,,y
PNalandaApp_T2_Smoke_Test_Learning_Path_,2,Verify: Smoke Test: Learning Path Access,xUI,xGetText,body_locator,,,y
PNalandaApp_T2_Smoke_Test_Learning_Path_,3,Verify page title,xUI,xGetTitle,,,page_title_contains,y
PNalandaApp_T3_Smoke_Test_Quiz_Functiona,1,Open site,xReuse,PReuse_NalandaApp_OpenSite,,,,y
PNalandaApp_T3_Smoke_Test_Quiz_Functiona,2,Verify: Smoke Test: Quiz Functionality,xUI,xGetText,body_locator,,,y
PNalandaApp_T3_Smoke_Test_Quiz_Functiona,3,Verify page title,xUI,xGetTitle,,,page_title_contains,y
PNalandaApp_T4_Smoke_Test_AI_Tutor_Inter,1,Open site,xReuse,PReuse_NalandaApp_OpenSite,,,,y
PNalandaApp_T4_Smoke_Test_AI_Tutor_Inter,2,Verify: Smoke Test: AI Tutor Interaction,xUI,xGetText,body_locator,,,y
PNalandaApp_T4_Smoke_Test_AI_Tutor_Inter,3,Verify page title,xUI,xGetTitle,,,page_title_contains,y
PNalandaApp_T9_Performance_Test_Load_on_,1,Open site,xReuse,PReuse_NalandaApp_OpenSite,,,,y
PNalandaApp_T9_Performance_Test_Load_on_,2,Verify: Performance Test: Load on Core Routes,xUI,xGetText,body_locator,,,y
PNalandaApp_T9_Performance_Test_Load_on_,3,Verify page title,xUI,xGetTitle,,,page_title_contains,y
PNalandaApp_T10_Security_Test_User_Data_,1,Open site,xReuse,PReuse_NalandaApp_OpenSite,,,,y
PNalandaApp_T10_Security_Test_User_Data_,2,Verify: Security Test: User Data Protection,xUI,xGetText,body_locator,,,y
PNalandaApp_T10_Security_Test_User_Data_,3,Verify page title,xUI,xGetTitle,,,page_title_contains,y
PNalandaApp_T12_Cross_Browser_Test_Core_,1,Open site,xReuse,PReuse_NalandaApp_OpenSite,,,,y
PNalandaApp_T12_Cross_Browser_Test_Core_,2,Navigate (explore_url),xUI,xNavigate,explore_url,,,y
PNalandaApp_T12_Cross_Browser_Test_Core_,3,Verify: Cross-Browser Test: Core Routes,xUI,xGetText,body_locator,,,y
PNalandaApp_T12_Cross_Browser_Test_Core_,4,Verify page title,xUI,xGetTitle,,,page_title_contains,y
PNalandaApp_Man_T5_Manual_UX_Test_Explore_Ro,1,Manual: Manual UX Test: Explore Route,xUI,xGetText,body_locator,,,n
PNalandaApp_Man_T6_Manual_UX_Test_Learning_P,1,Manual: Manual UX Test: Learning Path Navigation,xUI,xGetText,body_locator,,,n
PNalandaApp_Man_T7_Manual_UX_Test_Quiz_User_,1,Manual: Manual UX Test: Quiz User Experience,xUI,xGetText,body_locator,,,n
PNalandaApp_Man_T8_Manual_UX_Test_AI_Tutor_U,1,Manual: Manual UX Test: AI Tutor Usability,xUI,xGetText,body_locator,,,n
PNalandaApp_Man_T11_Accessibility_Test_Scree,1,Manual: Accessibility Test: Screen Reader Compatibility,xUI,xGetText,body_locator,,,n
