PlanId,StepId,StepInfo,ActionType,ActionName,Input,Output,Expected,Critical
PReuse_Ops_Open,1,Open Edge,xUI,xOpenBrowser,edge,,,Y
PReuse_Ops_Open,2,Navigate,xUI,xNavigate,base_url,,,Y
PReuse_Ops_Open,3,Wait,xTime,xTimeWait,2,,,Y
POps_Smoke_HomeOverview,1,Open,xReuse,PReuse_Ops_Open,,,,Y
POps_Smoke_HomeOverview,2,Title,xUI,xGetTitle,,,page_title_home,Y
POps_Smoke_HomeOverview,3,Heading,xUI,xGetText,body_locator,,heading_ops,Y
POps_Smoke_HomeOverview,4,Period,xUI,xGetText,body_locator,,text_period,Y
POps_Smoke_HomeOverview,5,H1 chip,xUI,xGetText,body_locator,,text_h1,Y
POps_Smoke_HomeOverview,6,Q2 chip,xUI,xGetText,body_locator,,text_q2,Y
POps_Smoke_HomeOverview,7,Custom,xUI,xGetText,body_locator,,text_custom,Y
POps_Smoke_KpiTotalOrders,1,Open,xReuse,PReuse_Ops_Open,,,,Y
POps_Smoke_KpiTotalOrders,2,Label,xUI,xGetText,body_locator,,text_total_orders,Y
POps_Smoke_KpiTotalOrders,3,Value H1,xUI,xGetText,body_locator,,text_orders_h1,Y
POps_Smoke_KpiOnTime,1,Open,xReuse,PReuse_Ops_Open,,,,Y
POps_Smoke_KpiOnTime,2,Label,xUI,xGetText,body_locator,,text_ontime,Y
POps_Smoke_KpiOnTime,3,Value,xUI,xGetText,body_locator,,text_ontime_h1,Y
POps_Smoke_KpiPrimeQuality,1,Open,xReuse,PReuse_Ops_Open,,,,Y
POps_Smoke_KpiPrimeQuality,2,Label,xUI,xGetText,body_locator,,text_prime,Y
POps_Smoke_KpiPrimeQuality,3,Value,xUI,xGetText,body_locator,,text_prime_h1,Y
POps_Smoke_KpiFulfillment,1,Open,xReuse,PReuse_Ops_Open,,,,Y
POps_Smoke_KpiFulfillment,2,Label,xUI,xGetText,body_locator,,text_fulfill,Y
POps_Smoke_KpiFulfillment,3,Value,xUI,xGetText,body_locator,,text_fulfill_h1,Y
POps_Smoke_ChartsOrders,1,Open,xReuse,PReuse_Ops_Open,,,,Y
POps_Smoke_ChartsOrders,2,Volume,xUI,xGetText,body_locator,,text_chart_volume,Y
POps_Smoke_ChartsOrders,3,Pipeline,xUI,xGetText,body_locator,,text_chart_pipeline,Y
POps_Smoke_ChartsOrders,4,Dispatch MT,xUI,xGetText,body_locator,,text_chart_dispatch,Y
POps_Smoke_ChartsOrders,5,Material,xUI,xGetText,body_locator,,text_chart_material,Y
