Type,DataName,D1,D2,D3,D4,D5,D6,D7,D8,D9
UI,persona_id,p1,p1,p1,p1,p1,p1,p1,p1,p1
UI,persona_code,P1,P1,P1,P1,P1,P1,P1,P1,P1
UI,persona_name,Ops Analyst,Quality Lead,Dispatch Coord,Ops Analyst,Ops Analyst,Ops Analyst,Ops Analyst,Ops Analyst,Ops Analyst
UI,persona_portfolio,H1 overview KPIs,Prime/hold quality,Dispatch & pipeline,H1 overview KPIs,H1 overview KPIs,H1 overview KPIs,H1 overview KPIs,H1 overview KPIs,H1 overview KPIs
UI,base_url,https://dashboardpresentation.netlify.app/,https://dashboardpresentation.netlify.app/,https://dashboardpresentation.netlify.app/,https://dashboardpresentation.netlify.app/,https://dashboardpresentation.netlify.app/,https://dashboardpresentation.netlify.app/,https://dashboardpresentation.netlify.app/,https://dashboardpresentation.netlify.app/,https://dashboardpresentation.netlify.app/
UI,home_url,https://dashboardpresentation.netlify.app/,https://dashboardpresentation.netlify.app/,https://dashboardpresentation.netlify.app/,https://dashboardpresentation.netlify.app/,https://dashboardpresentation.netlify.app/,https://dashboardpresentation.netlify.app/,https://dashboardpresentation.netlify.app/,https://dashboardpresentation.netlify.app/,https://dashboardpresentation.netlify.app/
UI,unknown_url,https://dashboardpresentation.netlify.app/no-such-xyz,https://dashboardpresentation.netlify.app/no-such-xyz,https://dashboardpresentation.netlify.app/no-such-xyz,https://dashboardpresentation.netlify.app/no-such-xyz,https://dashboardpresentation.netlify.app/no-such-xyz,https://dashboardpresentation.netlify.app/no-such-xyz,https://dashboardpresentation.netlify.app/no-such-xyz,https://dashboardpresentation.netlify.app/no-such-xyz,https://dashboardpresentation.netlify.app/no-such-xyz
UI,api_host,https://dashboardpresentation.netlify.app,https://dashboardpresentation.netlify.app,https://dashboardpresentation.netlify.app,https://dashboardpresentation.netlify.app,https://dashboardpresentation.netlify.app,https://dashboardpresentation.netlify.app,https://dashboardpresentation.netlify.app,https://dashboardpresentation.netlify.app,https://dashboardpresentation.netlify.app
UI,ep_home,/,/,/,/,/,/,/,/,/
UI,ep_index,/index.html,/index.html,/index.html,/index.html,/index.html,/index.html,/index.html,/index.html,/index.html
