PlanId,PlanName,DesignId,Run,Tags,Output
PReuse_J_P1_Shell_Client,Journey shell P1 as Creator,D1,Y,Journey;Reuse;P1;client,shell_p1_client
PJ_P1_Nav_build_cli,P1 client opens Build phase,D1,Y,Journey;qoa_web_live;Regression;P1;Nav;Build;client,pj_p1_build_client_nav
PJ_P1_Nav_run_cli,P1 client opens Run phase,D1,Y,Journey;qoa_web_live;Regression;P1;Nav;Run;client,pj_p1_run_client_nav
PJ_P1_Nav_analyze_cli,P1 client opens Analyze phase,D1,Y,Journey;qoa_web_live;Regression;P1;Nav;Analyze;client,pj_p1_analyze_client_nav
PJ_P1_Nav_heal_cli,P1 client opens Heal phase,D1,Y,Journey;qoa_web_live;Regression;P1;Nav;Heal;client,pj_p1_heal_client_nav
PJ_P1_Nav_loop_cli,P1 client opens Loop phase,D1,Y,Journey;qoa_web_live;Regression;P1;Nav;Loop;client,pj_p1_loop_client_nav
PJ_P1_Nav_brahl_cli,P1 client opens BRAHL phase,D1,Y,Journey;qoa_web_live;Regression;P1;Nav;BRAHL;client,pj_p1_brahl_client_nav
PJ_P1_Nav_atomic77_cli,P1 client opens Atomic77 phase,D1,Y,Journey;qoa_web_live;Regression;P1;Nav;Atomic77;client,pj_p1_atomic77_client_nav
PJ_P1_Nav_cost_cli,P1 client opens Cost phase,D1,Y,Journey;qoa_web_live;Regression;P1;Nav;Cost;client,pj_p1_cost_client_nav
PReuse_J_P1_Shell_Networker,Journey shell P1 as Networker,D1,Y,Journey;Reuse;P1;networker,shell_p1_networker
PJ_P1_Nav_atomic77_net,P1 networker opens Atomic77 phase,D1,Y,Journey;qoa_web_live;Regression;P1;Nav;Atomic77;networker,pj_p1_atomic77_networker_nav
PJ_P1_Nav_cost_net,P1 networker opens Cost phase,D1,Y,Journey;qoa_web_live;Regression;P1;Nav;Cost;networker,pj_p1_cost_networker_nav
