PlanId,StepId,StepInfo,ActionType,ActionName,Input,Output,Expected,Critical
PAPI_Health,1,GET health,xAPI,xGet,api_base_url;api_health_endpoint,,200,y
PAPI_ProfilesJs,1,GET profiles.js,xAPI,xGet,api_base_url;api_profiles_js_endpoint,,200,y
PAPI_ProjectsConsultant,1,GET consultant projects,xAPI,xGet,api_base_url;api_projects_consultant_endpoint,,200,y
PAPI_Signin,1,GET signin,xAPI,xGet,api_base_url;api_signin_endpoint,,200,y
PAPI_Suites,1,GET suites,xAPI,xGet,api_base_url;api_suites_endpoint,,200,y
PPersona_P1_Journey,1,P1 ready,xReuse,PReuse_qoa_web_ClientReady,,,,y
PPersona_P1_Journey,2,Reload profile URL,xUI,xNavigate,profile_url,,,y
PPersona_P1_Journey,3,Wait for profile,xTime,xTimeWait,4,,,y
PPersona_P1_Journey,4,Verify P1 chip,xUI,xGetText,profile_chip_code_locator,,persona_code,y
PPersona_P1_Journey,5,Open refine section,xUI,xClick,build_refine_summary_locator,,,y
PPersona_P1_Journey,6,Verify budget,xUI,xGetText,budget_block_locator,,Budget,y
PPersona_P2_Journey,1,P2 ready,xReuse,PReuse_PersonaReady,,,,y
PPersona_P2_Journey,2,Reload profile URL,xUI,xNavigate,profile_url,,,y
PPersona_P2_Journey,3,Wait for profile,xTime,xTimeWait,4,,,y
PPersona_P2_Journey,4,Verify P2 chip,xUI,xGetText,profile_chip_code_locator,,persona_code,y
PPersona_P2_Journey,5,Open account menu,xUI,xClick,user_menu_btn_locator,,,y
PPersona_P2_Journey,6,Click HITL,xUI,xClick,avatar_hitl_bar_btn,,,y
PPersona_P2_Journey,6,Click Build,xUI,xClick,nav_build_btn,,,y
PPersona_P2_Journey,7,Verify QA Hunter panel,xUI,xGetText,build_consultant_panel_locator,,consultant_panel_heading_expected,y
PPersona_P3_Journey,1,P3 HITL ready,xReuse,PReuse_qoa_web_HitlReady,,,,y
PPersona_P3_Journey,2,Reload profile URL,xUI,xNavigate,profile_url,,,y
PPersona_P3_Journey,3,Wait for profile,xTime,xTimeWait,4,,,y
PPersona_P3_Journey,4,Verify P3 chip,xUI,xGetText,profile_chip_code_locator,,persona_code,y
