PlanId,StepId,StepInfo,ActionType,ActionName,Input,Output,Expected,Critical
PReuse_TS_Open,1,Open Edge,xUI,xOpenBrowser,edge,,,Y
PReuse_TS_Open,2,Navigate home,xUI,xNavigate,base_url,,,Y
PReuse_TS_Open,3,Wait SPA,xTime,xTimeWait,3,,,Y
PReuse_TS_Open,4,Body present,xUI,xGetText,body_locator,,,Y
PTS_Smoke_HomeCapture,1,Open Edge,xUI,xOpenBrowser,edge,,,Y
PTS_Smoke_HomeCapture,2,Navigate home,xUI,xNavigate,base_url,,,Y
PTS_Smoke_HomeCapture,3,Wait,xTime,xTimeWait,3,,,Y
PTS_Smoke_HomeCapture,4,Title,xUI,xGetTitle,,,page_title_home,Y
PTS_Smoke_HomeCapture,5,Capture heading,xUI,xGetText,body_locator,,heading_capture,Y
PTS_Smoke_HomeCapture,6,Tap to record,xUI,xGetText,body_locator,,text_tap_record,Y
PTS_Smoke_HomeCapture,7,Voice mode,xUI,xGetText,body_locator,,text_voice,Y
PTS_Smoke_HomeCapture,8,Screen mode,xUI,xGetText,body_locator,,text_screen,Y
PTS_Smoke_HomeCapture,9,Try samples CTA,xUI,xGetText,body_locator,,text_try_samples,Y
PTS_Smoke_IdeasLibrary,1,Open site,xReuse,PReuse_TS_Open,,,,Y
PTS_Smoke_IdeasLibrary,2,Go ideas,xUI,xNavigate,ideas_url,,,Y
PTS_Smoke_IdeasLibrary,3,Wait,xTime,xTimeWait,2,,,Y
PTS_Smoke_IdeasLibrary,4,Title,xUI,xGetTitle,,,page_title_ideas,Y
PTS_Smoke_IdeasLibrary,5,Library heading,xUI,xGetText,body_locator,,heading_ideas,Y
PTS_Smoke_IdeasLibrary,6,Empty state,xUI,xGetText,body_locator,,text_no_ideas,Y
PTS_Smoke_Dashboard,1,Open site,xReuse,PReuse_TS_Open,,,,Y
PTS_Smoke_Dashboard,2,Go dashboard,xUI,xNavigate,dashboard_url,,,Y
PTS_Smoke_Dashboard,3,Wait,xTime,xTimeWait,2,,,Y
PTS_Smoke_Dashboard,4,Title,xUI,xGetTitle,,,page_title_dashboard,Y
PTS_Smoke_Dashboard,5,Dashboard heading,xUI,xGetText,body_locator,,heading_dashboard,Y
PTS_Smoke_Dashboard,6,Total Ideas,xUI,xGetText,body_locator,,text_total_ideas,Y
PTS_Smoke_Dashboard,7,No data yet,xUI,xGetText,body_locator,,text_no_data,Y
PTS_Smoke_Login,1,Open site,xReuse,PReuse_TS_Open,,,,Y
PTS_Smoke_Login,2,Go login,xUI,xNavigate,login_url,,,Y
PTS_Smoke_Login,3,Wait,xTime,xTimeWait,2,,,Y
PTS_Smoke_Login,4,Title,xUI,xGetTitle,,,page_title_login,Y
PTS_Smoke_Login,5,Welcome,xUI,xGetText,body_locator,,heading_welcome,Y
PTS_Smoke_Login,6,Google,xUI,xGetText,body_locator,,Continue with Google,Y
PTS_Smoke_Login,7,Email field,xUI,xGetText,input_email,,,Y
