Type,DataName,D1,D2,D3,D4,D5,D6,D7,D8,D9
UI,persona_id,p1,p2,p3,p1,p1,p1,p1,p1,p1
UI,persona_code,P1,P2,P3,P1,P1,P1,P1,P1,P1
UI,persona_name,Guest Capturer,Guest Researcher,Embed Integrator,Guest Capturer,Guest Capturer,Guest Capturer,Guest Capturer,Guest Capturer,Guest Capturer
UI,persona_portfolio,Solo notes,Research threads,SDK host apps,Solo notes,Solo notes,Solo notes,Solo notes,Solo notes,Solo notes
UI,base_url,https://jusdone.base44.app/,https://jusdone.base44.app/,https://jusdone.base44.app/,https://jusdone.base44.app/,https://jusdone.base44.app/,https://jusdone.base44.app/,https://jusdone.base44.app/,https://jusdone.base44.app/,https://jusdone.base44.app/
UI,ideas_url,https://jusdone.base44.app/ideas,https://jusdone.base44.app/ideas,https://jusdone.base44.app/ideas,https://jusdone.base44.app/ideas,https://jusdone.base44.app/ideas,https://jusdone.base44.app/ideas,https://jusdone.base44.app/ideas,https://jusdone.base44.app/ideas,https://jusdone.base44.app/ideas
UI,dashboard_url,https://jusdone.base44.app/dashboard,https://jusdone.base44.app/dashboard,https://jusdone.base44.app/dashboard,https://jusdone.base44.app/dashboard,https://jusdone.base44.app/dashboard,https://jusdone.base44.app/dashboard,https://jusdone.base44.app/dashboard,https://jusdone.base44.app/dashboard,https://jusdone.base44.app/dashboard
UI,login_url,https://jusdone.base44.app/login,https://jusdone.base44.app/login,https://jusdone.base44.app/login,https://jusdone.base44.app/login,https://jusdone.base44.app/login,https://jusdone.base44.app/login,https://jusdone.base44.app/login,https://jusdone.base44.app/login,https://jusdone.base44.app/login
UI,register_url,https://jusdone.base44.app/register,https://jusdone.base44.app/register,https://jusdone.base44.app/register,https://jusdone.base44.app/register,https://jusdone.base44.app/register,https://jusdone.base44.app/register,https://jusdone.base44.app/register,https://jusdone.base44.app/register,https://jusdone.base44.app/register
UI,forgot_url,https://jusdone.base44.app/forgot-password,https://jusdone.base44.app/forgot-password,https://jusdone.base44.app/forgot-password,https://jusdone.base44.app/forgot-password,https://jusdone.base44.app/forgot-password,https://jusdone.base44.app/forgot-password,https://jusdone.base44.app/forgot-password,https://jusdone.base44.app/forgot-password,https://jusdone.base44.app/forgot-password
UI,reset_url,https://jusdone.base44.app/reset-password,https://jusdone.base44.app/reset-password,https://jusdone.base44.app/reset-password,https://jusdone.base44.app/reset-password,https://jusdone.base44.app/reset-password,https://jusdone.base44.app/reset-password,https://jusdone.base44.app/reset-password,https://jusdone.base44.app/reset-password,https://jusdone.base44.app/reset-password
UI,integrate_url,https://jusdone.base44.app/integrate,https://jusdone.base44.app/integrate,https://jusdone.base44.app/integrate,https://jusdone.base44.app/integrate,https://jusdone.base44.app/integrate,https://jusdone.base44.app/integrate,https://jusdone.base44.app/integrate,https://jusdone.base44.app/integrate,https://jusdone.base44.app/integrate
UI,docs_url,https://jusdone.base44.app/docs,https://jusdone.base44.app/docs,https://jusdone.base44.app/docs,https://jusdone.base44.app/docs,https://jusdone.base44.app/docs,https://jusdone.base44.app/docs,https://jusdone.base44.app/docs,https://jusdone.base44.app/docs,https://jusdone.base44.app/docs
UI,embed_url,https://jusdone.base44.app/embed,https://jusdone.base44.app/embed,https://jusdone.base44.app/embed,https://jusdone.base44.app/embed,https://jusdone.base44.app/embed,https://jusdone.base44.app/embed,https://jusdone.base44.app/embed,https://jusdone.base44.app/embed,https://jusdone.base44.app/embed
UI,view_private_url,https://jusdone.base44.app/view/not-a-real-id,https://jusdone.base44.app/view/not-a-real-id,https://jusdone.base44.app/view/not-a-real-id,https://jusdone.base44.app/view/not-a-real-id,https://jusdone.base44.app/view/not-a-real-id,https://jusdone.base44.app/view/not-a-real-id,https://jusdone.base44.app/view/not-a-real-id,https://jusdone.base44.app/view/not-a-real-id,https://jusdone.base44.app/view/not-a-real-id
UI,unknown_url,https://jusdone.base44.app/no-such-xyz,https://jusdone.base44.app/no-such-xyz,https://jusdone.base44.app/no-such-xyz,https://jusdone.base44.app/no-such-xyz,https://jusdone.base44.app/no-such-xyz,https://jusdone.base44.app/no-such-xyz,https://jusdone.base44.app/no-such-xyz,https://jusdone.base44.app/no-such-xyz,https://jusdone.base44.app/no-such-xyz
UI,body_locator,css=body,css=body,css=body,css=body,css=body,css=body,css=body,css=body,css=body
UI,input_email,css=input[type='email'],css=input[type='email'],css=input[type='email'],css=input[type='email'],css=input[type='email'],css=input[type='email'],css=input[type='email'],css=input[type='email'],css=input[type='email']
UI,input_password,css=input[type='password'],css=input[type='password'],css=input[type='password'],css=input[type='password'],css=input[type='password'],css=input[type='password'],css=input[type='password'],css=input[type='password'],css=input[type='password']
UI,btn_go_home,xpath=//button[normalize-space()='Go Home'],xpath=//button[normalize-space()='Go Home'],xpath=//button[normalize-space()='Go Home'],xpath=//button[normalize-space()='Go Home'],xpath=//button[normalize-space()='Go Home'],xpath=//button[normalize-space()='Go Home'],xpath=//button[normalize-space()='Go Home'],xpath=//button[normalize-space()='Go Home'],xpath=//button[normalize-space()='Go Home']
UI,btn_try_samples,"xpath=//button[contains(.,'Try samples')]","xpath=//button[contains(.,'Try samples')]","xpath=//button[contains(.,'Try samples')]","xpath=//button[contains(.,'Try samples')]","xpath=//button[contains(.,'Try samples')]","xpath=//button[contains(.,'Try samples')]","xpath=//button[contains(.,'Try samples')]","xpath=//button[contains(.,'Try samples')]","xpath=//button[contains(.,'Try samples')]"
UI,btn_sample_ai_idea,xpath=//*[normalize-space()='AI and Creative Writing'],xpath=//*[normalize-space()='AI and Creative Writing'],xpath=//*[normalize-space()='AI and Creative Writing'],xpath=//*[normalize-space()='AI and Creative Writing'],xpath=//*[normalize-space()='AI and Creative Writing'],xpath=//*[normalize-space()='AI and Creative Writing'],xpath=//*[normalize-space()='AI and Creative Writing'],xpath=//*[normalize-space()='AI and Creative Writing'],xpath=//*[normalize-space()='AI and Creative Writing']
UI,btn_share,"xpath=//button[contains(normalize-space(),'Share')]","xpath=//button[contains(normalize-space(),'Share')]","xpath=//button[contains(normalize-space(),'Share')]","xpath=//button[contains(normalize-space(),'Share')]","xpath=//button[contains(normalize-space(),'Share')]","xpath=//button[contains(normalize-space(),'Share')]","xpath=//button[contains(normalize-space(),'Share')]","xpath=//button[contains(normalize-space(),'Share')]","xpath=//button[contains(normalize-space(),'Share')]"
UI,btn_settings,xpath=//button[@title='Settings'],xpath=//button[@title='Settings'],xpath=//button[@title='Settings'],xpath=//button[@title='Settings'],xpath=//button[@title='Settings'],xpath=//button[@title='Settings'],xpath=//button[@title='Settings'],xpath=//button[@title='Settings'],xpath=//button[@title='Settings']
UI,page_title_home,ThoughtStream,ThoughtStream,ThoughtStream,ThoughtStream,ThoughtStream,ThoughtStream,ThoughtStream,ThoughtStream,ThoughtStream
UI,page_title_ideas,Ideas | ThoughtStream,Ideas | ThoughtStream,Ideas | ThoughtStream,Ideas | ThoughtStream,Ideas | ThoughtStream,Ideas | ThoughtStream,Ideas | ThoughtStream,Ideas | ThoughtStream,Ideas | ThoughtStream
UI,page_title_dashboard,Dashboard | ThoughtStream,Dashboard | ThoughtStream,Dashboard | ThoughtStream,Dashboard | ThoughtStream,Dashboard | ThoughtStream,Dashboard | ThoughtStream,Dashboard | ThoughtStream,Dashboard | ThoughtStream,Dashboard | ThoughtStream
UI,page_title_login,Login | ThoughtStream,Login | ThoughtStream,Login | ThoughtStream,Login | ThoughtStream,Login | ThoughtStream,Login | ThoughtStream,Login | ThoughtStream,Login | ThoughtStream,Login | ThoughtStream
UI,page_title_register,Register | ThoughtStream,Register | ThoughtStream,Register | ThoughtStream,Register | ThoughtStream,Register | ThoughtStream,Register | ThoughtStream,Register | ThoughtStream,Register | ThoughtStream,Register | ThoughtStream
UI,page_title_integrate,Integrate | ThoughtStream,Integrate | ThoughtStream,Integrate | ThoughtStream,Integrate | ThoughtStream,Integrate | ThoughtStream,Integrate | ThoughtStream,Integrate | ThoughtStream,Integrate | ThoughtStream,Integrate | ThoughtStream
UI,page_title_docs,Docs | ThoughtStream,Docs | ThoughtStream,Docs | ThoughtStream,Docs | ThoughtStream,Docs | ThoughtStream,Docs | ThoughtStream,Docs | ThoughtStream,Docs | ThoughtStream,Docs | ThoughtStream
UI,page_title_embed,Embed | ThoughtStream,Embed | ThoughtStream,Embed | ThoughtStream,Embed | ThoughtStream,Embed | ThoughtStream,Embed | ThoughtStream,Embed | ThoughtStream,Embed | ThoughtStream,Embed | ThoughtStream
UI,heading_capture,Capture a thought,Capture a thought,Capture a thought,Capture a thought,Capture a thought,Capture a thought,Capture a thought,Capture a thought,Capture a thought
UI,heading_ideas,Ideas Library,Ideas Library,Ideas Library,Ideas Library,Ideas Library,Ideas Library,Ideas Library,Ideas Library,Ideas Library
UI,heading_dashboard,Dashboard,Dashboard,Dashboard,Dashboard,Dashboard,Dashboard,Dashboard,Dashboard,Dashboard
UI,heading_welcome,Welcome back,Welcome back,Welcome back,Welcome back,Welcome back,Welcome back,Welcome back,Welcome back,Welcome back
UI,heading_create,Create your account,Create your account,Create your account,Create your account,Create your account,Create your account,Create your account,Create your account,Create your account
UI,heading_reset,Reset password,Reset password,Reset password,Reset password,Reset password,Reset password,Reset password,Reset password,Reset password
UI,heading_invalid_reset,Invalid reset link,Invalid reset link,Invalid reset link,Invalid reset link,Invalid reset link,Invalid reset link,Invalid reset link,Invalid reset link,Invalid reset link
UI,heading_404,404,404,404,404,404,404,404,404,404
UI,heading_integrate,Integrate,Integrate,Integrate,Integrate,Integrate,Integrate,Integrate,Integrate,Integrate
UI,heading_documentation,Documentation,Documentation,Documentation,Documentation,Documentation,Documentation,Documentation,Documentation,Documentation
UI,heading_sign_in_capture,Sign in to capture,Sign in to capture,Sign in to capture,Sign in to capture,Sign in to capture,Sign in to capture,Sign in to capture,Sign in to capture,Sign in to capture
UI,text_tap_record,Tap to record,Tap to record,Tap to record,Tap to record,Tap to record,Tap to record,Tap to record,Tap to record,Tap to record
UI,text_voice,Voice,Voice,Voice,Voice,Voice,Voice,Voice,Voice,Voice
UI,text_screen,Screen,Screen,Screen,Screen,Screen,Screen,Screen,Screen,Screen
UI,text_try_samples,Try samples,Try samples,Try samples,Try samples,Try samples,Try samples,Try samples,Try samples,Try samples
UI,text_sign_in_save,Sign in to save ideas permanently,Sign in to save ideas permanently,Sign in to save ideas permanently,Sign in to save ideas permanently,Sign in to save ideas permanently,Sign in to save ideas permanently,Sign in to save ideas permanently,Sign in to save ideas permanently,Sign in to save ideas permanently
UI,text_guest_mode,Guest mode,Guest mode,Guest mode,Guest mode,Guest mode,Guest mode,Guest mode,Guest mode,Guest mode
UI,text_no_ideas,No ideas yet,No ideas yet,No ideas yet,No ideas yet,No ideas yet,No ideas yet,No ideas yet,No ideas yet,No ideas yet
UI,text_total_ideas,Total Ideas,Total Ideas,Total Ideas,Total Ideas,Total Ideas,Total Ideas,Total Ideas,Total Ideas,Total Ideas
UI,text_no_data,No data yet,No data yet,No data yet,No data yet,No data yet,No data yet,No data yet,No data yet,No data yet
UI,text_insights,Insights from your captured thoughts,Insights from your captured thoughts,Insights from your captured thoughts,Insights from your captured thoughts,Insights from your captured thoughts,Insights from your captured thoughts,Insights from your captured thoughts,Insights from your captured thoughts,Insights from your captured thoughts
UI,text_quick_start,Quick Start,Quick Start,Quick Start,Quick Start,Quick Start,Quick Start,Quick Start,Quick Start,Quick Start
UI,text_embed_js,embed.js,embed.js,embed.js,embed.js,embed.js,embed.js,embed.js,embed.js,embed.js
UI,text_init_api,init(options),init(options),init(options),init(options),init(options),init(options),init(options),init(options),init(options)
UI,text_ai_integrations,AI Integrations,AI Integrations,AI Integrations,AI Integrations,AI Integrations,AI Integrations,AI Integrations,AI Integrations,AI Integrations
UI,text_invoke_llm,InvokeLLM,InvokeLLM,InvokeLLM,InvokeLLM,InvokeLLM,InvokeLLM,InvokeLLM,InvokeLLM,InvokeLLM
UI,text_transcribe,TranscribeAudio,TranscribeAudio,TranscribeAudio,TranscribeAudio,TranscribeAudio,TranscribeAudio,TranscribeAudio,TranscribeAudio,TranscribeAudio
UI,text_route_capture,Capture,Capture,Capture,Capture,Capture,Capture,Capture,Capture,Capture
UI,text_need_account,You need an account to save your thoughts,You need an account to save your thoughts,You need an account to save your thoughts,You need an account to save your thoughts,You need an account to save your thoughts,You need an account to save your thoughts,You need an account to save your thoughts,You need an account to save your thoughts,You need an account to save your thoughts
UI,text_not_public,This idea is not publicly available,This idea is not publicly available,This idea is not publicly available,This idea is not publicly available,This idea is not publicly available,This idea is not publicly available,This idea is not publicly available,This idea is not publicly available,This idea is not publicly available
UI,text_recent_ideas,Recent ideas,Recent ideas,Recent ideas,Recent ideas,Recent ideas,Recent ideas,Recent ideas,Recent ideas,Recent ideas
UI,text_sample_ai_writing,AI and Creative Writing,AI and Creative Writing,AI and Creative Writing,AI and Creative Writing,AI and Creative Writing,AI and Creative Writing,AI and Creative Writing,AI and Creative Writing,AI and Creative Writing
UI,text_sample_remote,The Future of Remote Work,The Future of Remote Work,The Future of Remote Work,The Future of Remote Work,The Future of Remote Work,The Future of Remote Work,The Future of Remote Work,The Future of Remote Work,The Future of Remote Work
UI,text_key_points,KEY POINTS,KEY POINTS,KEY POINTS,KEY POINTS,KEY POINTS,KEY POINTS,KEY POINTS,KEY POINTS,KEY POINTS
UI,text_research,RESEARCH,RESEARCH,RESEARCH,RESEARCH,RESEARCH,RESEARCH,RESEARCH,RESEARCH,RESEARCH
UI,text_transcription,TRANSCRIPTION,TRANSCRIPTION,TRANSCRIPTION,TRANSCRIPTION,TRANSCRIPTION,TRANSCRIPTION,TRANSCRIPTION,TRANSCRIPTION,TRANSCRIPTION
UI,text_ai_augment,augment,augment,augment,augment,augment,augment,augment,augment,augment
UI,text_view_path,/view/,/view/,/view/,/view/,/view/,/view/,/view/,/view/,/view/
