PlanId,StepId,StepInfo,ActionType,ActionName,Input,Output,Expected,Critical
PReuse_UltimateShowdown_Open,1,Open Edge browser,xUI,xOpenBrowser,edge,,,y
PReuse_UltimateShowdown_Open,2,Navigate home,xUI,xNavigate,base_url,,,y
PReuse_UltimateShowdown_Open,3,Wait SPA,xTime,xTimeWait,3,,,y
PReuse_UltimateShowdown_Open,4,Verify body,xUI,xGetText,body_locator,,,y
PUS_UI_HomeNav,1,Open Edge,xUI,xOpenBrowser,edge,,,Y
PUS_UI_HomeNav,2,Navigate home,xUI,xNavigate,base_url,,,Y
PUS_UI_HomeNav,3,Wait,xTime,xTimeWait,2,,,Y
PUS_UI_HomeNav,4,Title,xUI,xGetTitle,,,page_title_home,Y
PUS_UI_HomeNav,5,Open game for CTA proof,xUI,xNavigate,game_url,,,Y
PUS_UI_HomeNav,6,Wait game,xTime,xTimeWait,2,,,Y
PUS_UI_HomeNav,7,Game shell has HOME nav,xUI,xGetText,body_locator,,HOME,Y
PUS_Smoke_Home,1,Open Edge,xUI,xOpenBrowser,edge,,,Y
PUS_Smoke_Home,2,Navigate home,xUI,xNavigate,base_url,,,Y
PUS_Smoke_Home,3,Wait for SPA paint,xTime,xTimeWait,3,,,Y
PUS_Smoke_Home,4,Title,xUI,xGetTitle,,,page_title_home,Y
PUS_Smoke_StartBattle,1,Open site,xReuse,PReuse_UltimateShowdown_Open,,,,Y
PUS_Smoke_StartBattle,2,Go game URL,xUI,xNavigate,game_url,,,Y
PUS_Smoke_StartBattle,3,Wait game,xTime,xTimeWait,3,,,Y
PUS_Smoke_StartBattle,4,Game title,xUI,xGetTitle,,,page_title_game,Y
PUS_Smoke_StartBattle,5,Body shows VS,xUI,xGetText,body_locator,,text_vs,Y
PUS_Smoke_StartBattle,6,RED CORNER present,xUI,xGetText,body_locator,,RED CORNER,Y
PUS_Smoke_StartBattle,7,BLUE CORNER present,xUI,xGetText,body_locator,,BLUE CORNER,Y
PUS_Smoke_Leaderboard,1,Open site,xReuse,PReuse_UltimateShowdown_Open,,,,y
PUS_Smoke_Leaderboard,2,Go leaderboard,xUI,xNavigate,leaderboard_url,,,y
PUS_Smoke_Leaderboard,3,Wait,xTime,xTimeWait,2,,,y
PUS_Smoke_Leaderboard,4,Title,xUI,xGetTitle,,,page_title_leaderboard,y
PUS_Smoke_Leaderboard,5,Heading LEADERBOARD,xUI,xGetText,body_locator,,heading_leaderboard,y
PUS_Smoke_Leaderboard,6,BEST STREAK filter,xUI,xGetText,body_locator,,BEST STREAK,y
PUS_Smoke_About,1,Open site,xReuse,PReuse_UltimateShowdown_Open,,,,y
PUS_Smoke_About,2,Go about,xUI,xNavigate,about_url,,,y
PUS_Smoke_About,3,Wait,xTime,xTimeWait,2,,,y
PUS_Smoke_About,4,Title,xUI,xGetTitle,,,page_title_about,y
PUS_Smoke_About,5,ABOUT heading,xUI,xGetText,body_locator,,heading_about,y
PUS_Smoke_About,6,HOW TO PLAY section,xUI,xGetText,body_locator,,text_how_to,y
PUS_Smoke_Contact,1,Open site,xReuse,PReuse_UltimateShowdown_Open,,,,y
PUS_Smoke_Contact,2,Go contact,xUI,xNavigate,contact_url,,,y
PUS_Smoke_Contact,3,Wait,xTime,xTimeWait,2,,,y
PUS_Smoke_Contact,4,CONTACT heading,xUI,xGetText,body_locator,,heading_contact,y
PUS_Smoke_Contact,5,Email field,xUI,xGetText,input_email,,,y
PUS_Smoke_Contact,6,Send button,xUI,xGetText,btn_send_message,,SEND MESSAGE,y
PUS_Smoke_Privacy,1,Open site,xReuse,PReuse_UltimateShowdown_Open,,,,y
PUS_Smoke_Privacy,2,Go privacy,xUI,xNavigate,privacy_url,,,y
PUS_Smoke_Privacy,3,Wait,xTime,xTimeWait,2,,,y
PUS_Smoke_Privacy,4,PRIVACY heading,xUI,xGetText,body_locator,,heading_privacy,y
PUS_Smoke_Login,1,Open site,xReuse,PReuse_UltimateShowdown_Open,,,,y
PUS_Smoke_Login,2,Go login,xUI,xNavigate,login_url,,,y
PUS_Smoke_Login,3,Wait,xTime,xTimeWait,2,,,y
PUS_Smoke_Login,4,Welcome back,xUI,xGetText,body_locator,,heading_welcome,y
PUS_Smoke_Login,5,Guest option,xUI,xGetText,body_locator,,Continue as Guest,y
PUS_Smoke_Login,6,Google option,xUI,xGetText,body_locator,,Continue with Google,y
PUS_Smoke_Register,1,Open site,xReuse,PReuse_UltimateShowdown_Open,,,,y
PUS_Smoke_Register,2,Go register,xUI,xNavigate,register_url,,,y
PUS_Smoke_Register,3,Wait,xTime,xTimeWait,2,,,y
PUS_Smoke_Register,4,Create account heading,xUI,xGetText,body_locator,,heading_create,y
PUS_Smoke_Register,5,Create account CTA,xUI,xGetText,body_locator,,Create account,y
PUS_Smoke_Archive404,1,Open site,xReuse,PReuse_UltimateShowdown_Open,,,,y
PUS_Smoke_Archive404,2,Go archive,xUI,xNavigate,archive_url,,,y
PUS_Smoke_Archive404,3,Wait,xTime,xTimeWait,2,,,y
PUS_Smoke_Archive404,4,404 text,xUI,xGetText,body_locator,,heading_404,y
PUS_Smoke_Archive404,5,Go Home CTA,xUI,xGetText,body_locator,,Go Home,y
