PlanId,PlanName,DesignId,Run,Tags,Output
Math_Addition,Verify_Math_Addition,D1;D2,N,Math,addition_result
Math_Multiplication,Verify_Math_Multiplication,D1,N,Math,multiplication_result
Math_Power,Verify_Math_Power,D1,N,Math,power_result
Math_Division,Verify_Math_Division,D1,N,Math,division_result
Math_Area,Verify_Math_CircleArea,D1;D2,N,Math,area_result
Math_SquareArea,Verify_Math_SquareArea,D1;D2,N,Math,square_area_result
Math_TriangleArea,Verify_Math_TriangleArea,D1;D2,N,Math,triangle_area_result
Math_Average,Verify_Math_Average,D1;D2;D3,N,Math,average_result
Math_SimpleInterest,Verify_Math_SimpleInterest,D1;D2;D3,N,Math,simple_interest_result
Math_CylinderVolume,Verify_Math_CylinderVolume,D1;D2,N,Math,cylinder_volume_result
Math_Modulo,Verify_Math_Modulo,D1,N,Math,modulo_result
Math_Round,Verify_Math_Round,D1,N,Math,round_result
Math_CompoundInterest,Verify_Math_CompoundInterest,D1,N,Math,compound_interest_result
