PlanId,PlanName,DesignId,Run,Tags,Output
PReuse_ivvu_OpenSite,Open browser and navigate to IVVU,D1,N,Reuse,site_loaded
PWeb_OpenLanding,Open IVVU home page,D1,Y,ivvu;Smoke;Landing,landing_loaded
PWeb_VerifyTitle,Verify home page title,D1,Y,ivvu;Smoke,title_verified
PWeb_Home_Hero,Verify hero messaging on landing,D1,Y,ivvu;Smoke;Landing,hero_ok
PWeb_Pricing_Load,Pricing page loads with plan section,D1,Y,ivvu;Smoke;Pricing,pricing_loaded
PWeb_FAQ_Load,FAQ help center page loads,D1,Y,ivvu;Smoke;FAQ,faq_loaded
PWeb_Care_Load,Care services page loads,D1,Y,ivvu;Smoke;Care,care_loaded
PWeb_Orders_Load,Orders page loads,D1,Y,ivvu;Smoke;Orders,orders_loaded
PWeb_Dashboard_Load,Dashboard page loads publicly,D1,Y,ivvu;Smoke;Dashboard,dashboard_loaded
PWeb_Login_Page,Login page form elements,D1,Y,ivvu;Smoke;Auth,login_page_ok
PWeb_Register_Page,Register page form elements,D1,Y,ivvu;Smoke;Auth,register_page_ok
PWeb_Forgot_Password,Forgot password page loads,D1,Y,ivvu;Smoke;Auth,forgot_password_ok
PWeb_Nav_Pricing,Navigate to pricing via nav link,D1,Y,ivvu;Pricing,pricing_nav_ok
PWeb_Issue_Docs_404,Docs route returns 404,D1,Y,ivvu;Issue;Regression,docs_404_ok
PWeb_Issue_Profile_404,Profile route returns 404,D1,Y,ivvu;Issue;Regression,profile_404_ok
PWeb_Issue_Shop_404,Shop route returns 404,D1,Y,ivvu;Issue;Regression,shop_404_ok
PAPI_Manifest,GET manifest.json returns PWA metadata,D1,Y,ivvu;API;Smoke,manifest_ok
PAPI_AuthSession_Unauth,Unauthenticated session API returns 401,D1,Y,ivvu;API;Security;Smoke,session_unauth_ok
PAPI_AppLog_Home,POST home app-log beacon succeeds,D1,Y,ivvu;API;NFR,applog_home_ok
PAPI_Apps_Unauth,Protected apps API returns 401 without auth,D1,Y,ivvu;API;Security,apps_unauth_ok
PAPI_InvalidLogin,Invalid login credentials rejected,D1,Y,ivvu;API;Security,invalid_login_ok
PAPI_Robots,robots.txt is reachable,D1,Y,ivvu;API;NFR,robots_ok
PWeb_Sec_EvilQuery,Evil XSS query on landing loads safely,D1,Y,ivvu;Security;Smoke;NFR,evil_query_safe
PWeb_Perf_Home_Load,Home page load under perf threshold,D1,Y,ivvu;Performance;NFR,home_perf_ok
PWeb_Perf_Pricing_Load,Pricing page load under perf threshold,D1,Y,ivvu;Performance;NFR,pricing_perf_ok
PAPI_Perf_Session,Auth session API response under perf threshold,D1,Y,ivvu;Performance;API,session_perf_ok
PWeb_Issue_Gift_404,Gift route /gift returns 404,D1,Y,ivvu;Issue;Regression;BrokenLink,gift_404_ok
PWeb_Issue_BookCare_404,Book care route /book-care returns 404,D1,Y,ivvu;Issue;Regression;BrokenLink,book_care_404_ok
PWeb_Issue_SendGiftRoute_404,Send gift route /send-gift returns 404,D1,Y,ivvu;Issue;Regression;BrokenLink,send_gift_404_ok
PWeb_Issue_AddFamilyRoute_404,Add family route /add-family returns 404,D1,Y,ivvu;Issue;Regression;BrokenLink,add_family_404_ok
PWeb_Issue_About_404,About route returns 404,D1,Y,ivvu;Issue;Regression,about_404_ok
PWeb_Issue_Automations_404,Automations route returns 404,D1,Y,ivvu;Issue;Regression,automations_404_ok
PWeb_Issue_Onboarding_404,Onboarding route returns 404,D1,Y,ivvu;Issue;Regression,onboarding_404_ok
PWeb_Issue_BuildApp_404,Build app route returns 404,D1,Y,ivvu;Issue;Regression,build_app_404_ok
PWeb_Issue_ConnectedApps_404,Connected apps route returns 404,D1,Y,ivvu;Issue;Regression,connected_apps_404_ok
PWeb_Link_Dashboard_Gifts,Dashboard gifts CTA reaches gift shop,D1,Y,ivvu;Link;Dashboard,gifts_link_ok
PWeb_Link_Dashboard_ContactsNew,Dashboard add family CTA reaches form,D1,Y,ivvu;Link;Dashboard,contacts_new_link_ok
PWeb_Link_Dashboard_Rewards,Dashboard rewards link loads rewards page,D1,Y,ivvu;Link;Dashboard,rewards_link_ok
PWeb_Link_Home_FAQ,Home FAQ nav link reaches help center,D1,Y,ivvu;Link;Landing,faq_link_ok
PWeb_Link_Home_SignIn,Home sign in nav reaches login page,D1,Y,ivvu;Link;Landing;Auth,signin_link_ok
PWeb_Sec_Dashboard_Public,Dashboard accessible without authentication,D1,Y,ivvu;Security;Issue,dashboard_public_ok
PWeb_Sec_Settings_Public,Settings page accessible without authentication,D1,Y,ivvu;Security;Issue,settings_public_ok
PWeb_Sec_XSS_Login,XSS in login email field handled safely,D1,Y,ivvu;Security;Auth,xss_login_safe
PWeb_Elem_Gifts_Trending,Gift shop shows trending section,D1,Y,ivvu;Element;Gifts,gifts_trending_ok
PWeb_Elem_Dashboard_EmptyOrders,Dashboard shows empty orders state,D1,Y,ivvu;Element;Dashboard,empty_orders_ok
