PlanId,StepId,StepInfo,ActionType,ActionName,Input,Output,Expected,Critical
PReuse_ivvu_OpenSite,1,Open browser,xUI,xOpenBrowser,edge,,,y
PReuse_ivvu_OpenSite,2,Navigate to IVVU,xUI,xNavigate,base_url,,,y
PReuse_ivvu_OpenSite,3,Verify page body,xUI,xGetText,body_locator,,,y
PWeb_OpenLanding,1,Open browser session,xReuse,PReuse_ivvu_OpenSite,,,,y
PWeb_OpenLanding,2,Reset to home page,xUI,xNavigate,base_url,,,y
PWeb_OpenLanding,3,Verify body loaded,xUI,xGetText,body_locator,,,y
PWeb_VerifyTitle,1,Open browser session,xReuse,PReuse_ivvu_OpenSite,,,,y
PWeb_VerifyTitle,2,Reset to home page,xUI,xNavigate,base_url,,,y
PWeb_VerifyTitle,3,Get page title,xUI,xGetTitle,,page_title,,n
PWeb_Home_Hero,1,Open browser session,xReuse,PReuse_ivvu_OpenSite,,,,y
PWeb_Home_Hero,2,Reset to home page,xUI,xNavigate,base_url,,,y
PWeb_Home_Hero,3,Verify hero messaging,xUI,xGetText,hero_locator,,,y
PWeb_Pricing_Load,1,Open browser session,xReuse,PReuse_ivvu_OpenSite,,,,y
PWeb_Pricing_Load,2,Navigate to pricing,xUI,xNavigate,pricing_url,,,y
PWeb_Pricing_Load,3,Verify pricing section,xUI,xGetText,pricing_heading_locator,,,y
PWeb_FAQ_Load,1,Open browser session,xReuse,PReuse_ivvu_OpenSite,,,,y
PWeb_FAQ_Load,2,Navigate to FAQ,xUI,xNavigate,faq_url,,,y
PWeb_FAQ_Load,3,Verify help center heading,xUI,xGetText,faq_heading_locator,,,y
PWeb_Care_Load,1,Open browser session,xReuse,PReuse_ivvu_OpenSite,,,,y
PWeb_Care_Load,2,Navigate to care,xUI,xNavigate,care_url,,,y
PWeb_Care_Load,3,Verify care services heading,xUI,xGetText,care_heading_locator,,,y
PWeb_Orders_Load,1,Open browser session,xReuse,PReuse_ivvu_OpenSite,,,,y
PWeb_Orders_Load,2,Navigate to orders,xUI,xNavigate,orders_url,,,y
PWeb_Orders_Load,3,Verify orders heading,xUI,xGetText,orders_heading_locator,,,y
PWeb_Dashboard_Load,1,Open browser session,xReuse,PReuse_ivvu_OpenSite,,,,y
PWeb_Dashboard_Load,2,Navigate to dashboard,xUI,xNavigate,dashboard_url,,,y
PWeb_Dashboard_Load,3,Verify dashboard content,xUI,xGetText,dashboard_heading_locator,,,y
PWeb_Login_Page,1,Open browser session,xReuse,PReuse_ivvu_OpenSite,,,,y
PWeb_Login_Page,2,Navigate to login,xUI,xNavigate,login_url,,,y
PWeb_Login_Page,3,Verify welcome heading,xUI,xGetText,login_welcome_locator,,,y
PWeb_Register_Page,1,Open browser session,xReuse,PReuse_ivvu_OpenSite,,,,y
PWeb_Register_Page,2,Navigate to register,xUI,xNavigate,register_url,,,y
PWeb_Register_Page,3,Verify register heading,xUI,xGetText,register_heading_locator,,,y
PWeb_Forgot_Password,1,Open browser session,xReuse,PReuse_ivvu_OpenSite,,,,y
PWeb_Forgot_Password,2,Navigate to forgot password,xUI,xNavigate,forgot_password_url,,,y
PWeb_Forgot_Password,3,Verify reset heading,xUI,xGetText,forgot_heading_locator,,,y
PWeb_Nav_Pricing,1,Open browser session,xReuse,PReuse_ivvu_OpenSite,,,,y
PWeb_Nav_Pricing,2,Reset to home page,xUI,xNavigate,base_url,,,y
PWeb_Nav_Pricing,3,Click pricing nav link,xUI,xClick,nav_pricing_locator,,,y
PWeb_Nav_Pricing,4,Verify pricing page loaded,xUI,xGetText,pricing_heading_locator,,,y
PWeb_Issue_Docs_404,1,Open browser session,xReuse,PReuse_ivvu_OpenSite,,,,y
PWeb_Issue_Docs_404,2,Navigate to docs,xUI,xNavigate,docs_url,,,y
PWeb_Issue_Docs_404,3,Verify 404 heading,xUI,xGetText,not_found_heading_locator,,,y
PWeb_Issue_Profile_404,1,Open browser session,xReuse,PReuse_ivvu_OpenSite,,,,y
PWeb_Issue_Profile_404,2,Navigate to profile,xUI,xNavigate,profile_url,,,y
PWeb_Issue_Profile_404,3,Verify 404 heading,xUI,xGetText,not_found_heading_locator,,,y
PWeb_Issue_Shop_404,1,Open browser session,xReuse,PReuse_ivvu_OpenSite,,,,y
PWeb_Issue_Shop_404,2,Navigate to shop,xUI,xNavigate,shop_url,,,y
PWeb_Issue_Shop_404,3,Verify 404 heading,xUI,xGetText,not_found_heading_locator,,,y
PAPI_Manifest,1,GET manifest.json,xAPI,xGet,api_base_url;api_manifest_endpoint,,200,y
PAPI_Manifest,2,Validate manifest name field,xJSON,xValidateJson,name,,True,y
PAPI_AuthSession_Unauth,1,GET session without auth,xAPI,xGet,api_base_url;api_session_endpoint,,401,y
PAPI_AuthSession_Unauth,2,Validate error_type in body,xJSON,xValidateJson,error_type,,True,y
PAPI_AppLog_Home,1,POST home app-log beacon,xAPI,xPost,api_base_url;api_applog_home_endpoint;payload_empty_path,,200,y
PAPI_AppLog_Home,2,Validate success flag,xJSON,xValidateJson,success,,True,y
PAPI_Apps_Unauth,1,GET apps API without auth,xAPI,xGet,api_base_url;api_apps_endpoint,,401,y
PAPI_InvalidLogin,1,POST invalid login credentials,xAPI,xPost,api_base_url;api_login_endpoint;payload_invalid_login_path,,400,y
PAPI_InvalidLogin,2,Validate error_type in body,xJSON,xValidateJson,error_type,,True,y
PAPI_Robots,1,GET robots.txt,xAPI,xGet,api_base_url;api_robots_endpoint,,200,y
PWeb_Sec_EvilQuery,1,Navigate evil query URL,xUI,xNavigate,evil_query_url,,,y
PWeb_Sec_EvilQuery,2,Verify page loads safely,xUI,xGetText,body_locator,,,y
PWeb_Perf_Home_Load,1,Open browser session,xReuse,PReuse_ivvu_OpenSite,,,,y
PWeb_Perf_Home_Load,2,Start load timer,xUI,xStartTimer,,,,y
PWeb_Perf_Home_Load,3,Navigate to home,xUI,xNavigate,base_url,,,y
PWeb_Perf_Home_Load,4,Stop load timer,xUI,xStopTimer,elapsed_ms,,,n
PWeb_Perf_Home_Load,5,Assert home load under threshold,xUI,xAssertLessThan,{{step:4}};perf_max_home_ms,,,y
PWeb_Perf_Pricing_Load,1,Open browser session,xReuse,PReuse_ivvu_OpenSite,,,,y
PWeb_Perf_Pricing_Load,2,Start load timer,xUI,xStartTimer,,,,y
PWeb_Perf_Pricing_Load,3,Navigate to pricing,xUI,xNavigate,pricing_url,,,y
PWeb_Perf_Pricing_Load,4,Stop load timer,xUI,xStopTimer,elapsed_ms,,,n
PWeb_Perf_Pricing_Load,5,Assert pricing load under threshold,xUI,xAssertLessThan,{{step:4}};perf_max_pricing_ms,,,y
PAPI_Perf_Session,1,Start API timer,xUI,xStartTimer,,,,y
PAPI_Perf_Session,2,GET session endpoint,xAPI,xGet,api_base_url;api_session_endpoint,,401,y
PAPI_Perf_Session,3,Stop API timer,xUI,xStopTimer,elapsed_ms,,,n
PAPI_Perf_Session,4,Assert session API under threshold,xUI,xAssertLessThan,{{step:3}};perf_max_api_ms,,,y
PWeb_Issue_Gift_404,1,Open browser session,xReuse,PReuse_ivvu_OpenSite,,,,y
PWeb_Issue_Gift_404,2,Navigate to gift route,xUI,xNavigate,gift_url,,,y
PWeb_Issue_Gift_404,3,Verify 404 heading,xUI,xGetText,not_found_heading_locator,,,y
PWeb_Issue_BookCare_404,1,Open browser session,xReuse,PReuse_ivvu_OpenSite,,,,y
PWeb_Issue_BookCare_404,2,Navigate to book care route,xUI,xNavigate,book_care_url,,,y
PWeb_Issue_BookCare_404,3,Verify 404 heading,xUI,xGetText,not_found_heading_locator,,,y
PWeb_Issue_SendGiftRoute_404,1,Open browser session,xReuse,PReuse_ivvu_OpenSite,,,,y
PWeb_Issue_SendGiftRoute_404,2,Navigate to send gift route,xUI,xNavigate,send_gift_url,,,y
PWeb_Issue_SendGiftRoute_404,3,Verify 404 heading,xUI,xGetText,not_found_heading_locator,,,y
PWeb_Issue_AddFamilyRoute_404,1,Open browser session,xReuse,PReuse_ivvu_OpenSite,,,,y
PWeb_Issue_AddFamilyRoute_404,2,Navigate to add family route,xUI,xNavigate,add_family_url,,,y
PWeb_Issue_AddFamilyRoute_404,3,Verify 404 heading,xUI,xGetText,not_found_heading_locator,,,y
PWeb_Issue_About_404,1,Open browser session,xReuse,PReuse_ivvu_OpenSite,,,,y
PWeb_Issue_About_404,2,Navigate to about,xUI,xNavigate,about_url,,,y
PWeb_Issue_About_404,3,Verify 404 heading,xUI,xGetText,not_found_heading_locator,,,y
PWeb_Issue_Automations_404,1,Open browser session,xReuse,PReuse_ivvu_OpenSite,,,,y
PWeb_Issue_Automations_404,2,Navigate to automations,xUI,xNavigate,automations_url,,,y
PWeb_Issue_Automations_404,3,Verify 404 heading,xUI,xGetText,not_found_heading_locator,,,y
PWeb_Issue_Onboarding_404,1,Open browser session,xReuse,PReuse_ivvu_OpenSite,,,,y
