Type,DataName,D1,D2,D3,D4,D5,D6
UI,base_url,https://qoa2.base44.app/,https://qoa2.base44.app/,https://qoa2.base44.app/,https://qoa2.base44.app/,https://qoa2.base44.app/,https://qoa2.base44.app/
UI,login_url,https://qoa2.base44.app/login,https://qoa2.base44.app/login,https://qoa2.base44.app/login,https://qoa2.base44.app/login,https://qoa2.base44.app/login,https://qoa2.base44.app/login
UI,register_url,https://qoa2.base44.app/register,https://qoa2.base44.app/register,https://qoa2.base44.app/register,https://qoa2.base44.app/register,https://qoa2.base44.app/register,https://qoa2.base44.app/register
UI,dashboard_url,https://qoa2.base44.app/dashboard,https://qoa2.base44.app/dashboard,https://qoa2.base44.app/dashboard,https://qoa2.base44.app/dashboard,https://qoa2.base44.app/dashboard,https://qoa2.base44.app/dashboard
UI,arena_url,https://qoa2.base44.app/arena,https://qoa2.base44.app/arena,https://qoa2.base44.app/arena,https://qoa2.base44.app/arena,https://qoa2.base44.app/arena,https://qoa2.base44.app/arena
UI,build_url,https://qoa2.base44.app/build,https://qoa2.base44.app/build,https://qoa2.base44.app/build,https://qoa2.base44.app/build,https://qoa2.base44.app/build,https://qoa2.base44.app/build
UI,heal_url,https://qoa2.base44.app/heal,https://qoa2.base44.app/heal,https://qoa2.base44.app/heal,https://qoa2.base44.app/heal,https://qoa2.base44.app/heal,https://qoa2.base44.app/heal
UI,loop_url,https://qoa2.base44.app/loop,https://qoa2.base44.app/loop,https://qoa2.base44.app/loop,https://qoa2.base44.app/loop,https://qoa2.base44.app/loop,https://qoa2.base44.app/loop
UI,jobs_url,https://qoa2.base44.app/jobs,https://qoa2.base44.app/jobs,https://qoa2.base44.app/jobs,https://qoa2.base44.app/jobs,https://qoa2.base44.app/jobs,https://qoa2.base44.app/jobs
UI,wallet_url,https://qoa2.base44.app/wallet,https://qoa2.base44.app/wallet,https://qoa2.base44.app/wallet,https://qoa2.base44.app/wallet,https://qoa2.base44.app/wallet,https://qoa2.base44.app/wallet
UI,docs_url,https://qoa2.base44.app/docs,https://qoa2.base44.app/docs,https://qoa2.base44.app/docs,https://qoa2.base44.app/docs,https://qoa2.base44.app/docs,https://qoa2.base44.app/docs
UI,run_url,https://qoa2.base44.app/run,https://qoa2.base44.app/run,https://qoa2.base44.app/run,https://qoa2.base44.app/run,https://qoa2.base44.app/run,https://qoa2.base44.app/run
UI,analyze_url,https://qoa2.base44.app/analyze,https://qoa2.base44.app/analyze,https://qoa2.base44.app/analyze,https://qoa2.base44.app/analyze,https://qoa2.base44.app/analyze,https://qoa2.base44.app/analyze
UI,forgot_password_url,https://qoa2.base44.app/forgot-password,https://qoa2.base44.app/forgot-password,https://qoa2.base44.app/forgot-password,https://qoa2.base44.app/forgot-password,https://qoa2.base44.app/forgot-password,https://qoa2.base44.app/forgot-password
UI,evil_query_url,https://qoa2.base44.app/?q=%3Cscript%3Ealert(1)%3C/script%3E,https://qoa2.base44.app/?q=%3Cscript%3Ealert(1)%3C/script%3E,https://qoa2.base44.app/?q=%3Cscript%3Ealert(1)%3C/script%3E,https://qoa2.base44.app/?q=%3Cscript%3Ealert(1)%3C/script%3E,https://qoa2.base44.app/?q=%3Cscript%3Ealert(1)%3C/script%3E,https://qoa2.base44.app/?q=%3Cscript%3Ealert(1)%3C/script%3E
UI,login_evil_query_url,https://qoa2.base44.app/login?q=%3Cscript%3Ealert(1)%3C/script%3E,https://qoa2.base44.app/login?q=%3Cscript%3Ealert(1)%3C/script%3E,https://qoa2.base44.app/login?q=%3Cscript%3Ealert(1)%3C/script%3E,https://qoa2.base44.app/login?q=%3Cscript%3Ealert(1)%3C/script%3E,https://qoa2.base44.app/login?q=%3Cscript%3Ealert(1)%3C/script%3E,https://qoa2.base44.app/login?q=%3Cscript%3Ealert(1)%3C/script%3E
UI,path_traversal_url,https://qoa2.base44.app/../../../etc/passwd,https://qoa2.base44.app/../../../etc/passwd,https://qoa2.base44.app/../../../etc/passwd,https://qoa2.base44.app/../../../etc/passwd,https://qoa2.base44.app/../../../etc/passwd,https://qoa2.base44.app/../../../etc/passwd
UI,open_redirect_url,https://qoa2.base44.app/login?redirect=https://evil.example.com,https://qoa2.base44.app/login?redirect=https://evil.example.com,https://qoa2.base44.app/login?redirect=https://evil.example.com,https://qoa2.base44.app/login?redirect=https://evil.example.com,https://qoa2.base44.app/login?redirect=https://evil.example.com,https://qoa2.base44.app/login?redirect=https://evil.example.com
UI,admin_probe_url,https://qoa2.base44.app/admin,https://qoa2.base44.app/admin,https://qoa2.base44.app/admin,https://qoa2.base44.app/admin,https://qoa2.base44.app/admin,https://qoa2.base44.app/admin
UI,env_probe_url,https://qoa2.base44.app/.env,https://qoa2.base44.app/.env,https://qoa2.base44.app/.env,https://qoa2.base44.app/.env,https://qoa2.base44.app/.env,https://qoa2.base44.app/.env
UI,body_locator,css=body,css=body,css=body,css=body,css=body,css=body
UI,h1_locator,css=h1,css=h1,css=h1,css=h1,css=h1,css=h1
UI,nav_locator,css=nav,css=nav,css=nav,css=nav,css=nav,css=nav
UI,header_locator,css=header,css=header,css=header,css=header,css=header,css=header
UI,login_form_locator,css=form,css=form,css=form,css=form,css=form,css=form
UI,login_email_input_locator,css=input[type=email],css=input[type=email],css=input[type=email],css=input[type=email],css=input[type=email],css=input[type=email]
UI,login_password_input_locator,css=input[type=password],css=input[type=password],css=input[type=password],css=input[type=password],css=input[type=password],css=input[type=password]
UI,login_submit_btn_locator,css=button[type=submit],css=button[type=submit],css=button[type=submit],css=button[type=submit],css=button[type=submit],css=button[type=submit]
UI,login_welcome_locator,"xpath=//h1[contains(.,'Welcome')]","xpath=//h1[contains(.,'Welcome')]","xpath=//h1[contains(.,'Welcome')]","xpath=//h1[contains(.,'Welcome')]","xpath=//h1[contains(.,'Welcome')]","xpath=//h1[contains(.,'Welcome')]"
UI,google_signin_btn_locator,"xpath=//button[contains(.,'Continue with Google')]","xpath=//button[contains(.,'Continue with Google')]","xpath=//button[contains(.,'Continue with Google')]","xpath=//button[contains(.,'Continue with Google')]","xpath=//button[contains(.,'Continue with Google')]","xpath=//button[contains(.,'Continue with Google')]"
UI,forgot_password_locator,"xpath=//a[contains(@href,'forgot-password')]","xpath=//a[contains(@href,'forgot-password')]","xpath=//a[contains(@href,'forgot-password')]","xpath=//a[contains(@href,'forgot-password')]","xpath=//a[contains(@href,'forgot-password')]","xpath=//a[contains(@href,'forgot-password')]"
UI,back_to_login_locator,css=a[href='/login'],css=a[href='/login'],css=a[href='/login'],css=a[href='/login'],css=a[href='/login'],css=a[href='/login']
UI,reset_password_locator,"xpath=//h1[contains(.,'Reset password')]","xpath=//h1[contains(.,'Reset password')]","xpath=//h1[contains(.,'Reset password')]","xpath=//h1[contains(.,'Reset password')]","xpath=//h1[contains(.,'Reset password')]","xpath=//h1[contains(.,'Reset password')]"
UI,dashboard_greeting_locator,"xpath=//h2[contains(.,'AI Social Assistant')]","xpath=//h2[contains(.,'AI Social Assistant')]","xpath=//h2[contains(.,'AI Social Assistant')]","xpath=//h2[contains(.,'AI Social Assistant')]","xpath=//h2[contains(.,'AI Social Assistant')]","xpath=//h2[contains(.,'AI Social Assistant')]"
UI,command_center_locator,"xpath=//*[contains(.,'Welcome to your Command Center')]","xpath=//*[contains(.,'Welcome to your Command Center')]","xpath=//*[contains(.,'Welcome to your Command Center')]","xpath=//*[contains(.,'Welcome to your Command Center')]","xpath=//*[contains(.,'Welcome to your Command Center')]","xpath=//*[contains(.,'Welcome to your Command Center')]"
UI,social_assistant_locator,"xpath=//h2[contains(.,'AI Social Assistant')]","xpath=//h2[contains(.,'AI Social Assistant')]","xpath=//h2[contains(.,'AI Social Assistant')]","xpath=//h2[contains(.,'AI Social Assistant')]","xpath=//h2[contains(.,'AI Social Assistant')]","xpath=//h2[contains(.,'AI Social Assistant')]"
UI,generate_post_btn_locator,"xpath=//button[contains(.,'Generate Post')]","xpath=//button[contains(.,'Generate Post')]","xpath=//button[contains(.,'Generate Post')]","xpath=//button[contains(.,'Generate Post')]","xpath=//button[contains(.,'Generate Post')]","xpath=//button[contains(.,'Generate Post')]"
UI,avatar_client_locator,xpath=//button[normalize-space()='Client'],xpath=//button[normalize-space()='Client'],xpath=//button[normalize-space()='Client'],xpath=//button[normalize-space()='Client'],xpath=//button[normalize-space()='Client'],xpath=//button[normalize-space()='Client']
UI,avatar_consultant_locator,xpath=//button[normalize-space()='Consultant'],xpath=//button[normalize-space()='Consultant'],xpath=//button[normalize-space()='Consultant'],xpath=//button[normalize-space()='Consultant'],xpath=//button[normalize-space()='Consultant'],xpath=//button[normalize-space()='Consultant']
UI,avatar_promoter_locator,xpath=//button[normalize-space()='Promoter'],xpath=//button[normalize-space()='Promoter'],xpath=//button[normalize-space()='Promoter'],xpath=//button[normalize-space()='Promoter'],xpath=//button[normalize-space()='Promoter'],xpath=//button[normalize-space()='Promoter']
UI,avatar_nalanda_locator,xpath=//button[normalize-space()='Nalanda'],xpath=//button[normalize-space()='Nalanda'],xpath=//button[normalize-space()='Nalanda'],xpath=//button[normalize-space()='Nalanda'],xpath=//button[normalize-space()='Nalanda'],xpath=//button[normalize-space()='Nalanda']
UI,client_content_locator,"xpath=//main//*[contains(.,'Client')]","xpath=//main//*[contains(.,'Client')]","xpath=//main//*[contains(.,'Client')]","xpath=//main//*[contains(.,'Client')]","xpath=//main//*[contains(.,'Client')]","xpath=//main//*[contains(.,'Client')]"
UI,consultant_content_locator,"xpath=//main//*[contains(.,'Consultant')]","xpath=//main//*[contains(.,'Consultant')]","xpath=//main//*[contains(.,'Consultant')]","xpath=//main//*[contains(.,'Consultant')]","xpath=//main//*[contains(.,'Consultant')]","xpath=//main//*[contains(.,'Consultant')]"
