PlanId,StepId,StepInfo,ActionType,ActionName,Input,Output,Expected,Critical
PReuse_qoa2_OpenSite,1,Open browser,xUI,xOpenBrowser,edge,,,y
PReuse_qoa2_OpenSite,2,Navigate to qoa2,xUI,xNavigate,base_url,,,y
PReuse_qoa2_OpenSite,3,Verify page body,xUI,xGetText,body_locator,,,y
PReuse_qoa2_Login,1,Open site (reuse),xReuse,PReuse_qoa2_OpenSite,,,,y
PReuse_qoa2_Login,2,Navigate to login,xUI,xNavigate,login_url,,,y
PReuse_qoa2_Login,3,Enter email,xUI,xType,login_email;login_email_input_locator,,,y
PReuse_qoa2_Login,4,Enter password,xUI,xType,login_password;login_password_input_locator,,,y
PReuse_qoa2_Login,5,Click Continue,xUI,xClick,login_submit_btn_locator,,,y
PReuse_qoa2_Login,6,Verify logged-in XP tracker,xUI,xGetText,xp_tracker_header_locator,,,y
PReuse_qoa2_Login,7,Dismiss onboarding trainer,xReuse,PReuse_qoa2_Dismiss_Onboarding,,,,n
PReuse_qoa2_Dashboard,1,Open site (reuse),xReuse,PReuse_qoa2_OpenSite,,,,y
PReuse_qoa2_Dashboard,2,Navigate to dashboard,xUI,xNavigate,dashboard_url,,,y
PReuse_qoa2_Dashboard,3,Verify command center present,xUI,xGetText,social_assistant_locator,,,y
PReuse_qoa2_Dashboard,4,Verify command center loaded,xUI,xGetText,social_assistant_locator,,,y
PReuse_qoa2_Admin,1,Login session (reuse),xReuse,PReuse_qoa2_Login,,,,y
PReuse_qoa2_Admin,2,Navigate to admin panel,xUI,xNavigate,admin_url,,,y
PReuse_qoa2_Admin,3,Verify admin panel loaded,xUI,xGetText,admin_panel_title_locator,,Admin Panel,y
PReuse_qoa2_Dismiss_Onboarding,1,Advance onboarding slide 1,xUI,xClick,onboarding_next_locator,,,n
PReuse_qoa2_Dismiss_Onboarding,2,Advance onboarding slide 2,xUI,xClick,onboarding_next_locator,,,n
PReuse_qoa2_Dismiss_Onboarding,3,Advance onboarding slide 3,xUI,xClick,onboarding_next_locator,,,n
PReuse_qoa2_Dismiss_Onboarding,4,Finish onboarding carousel,xUI,xClick,onboarding_next_locator,,,n
PWeb_OpenLanding,1,Open site (reuse),xReuse,PReuse_qoa2_OpenSite,,,,y
PWeb_OpenLanding,2,Verify body loaded,xUI,xGetText,body_locator,,,y
PWeb_VerifyTitle,1,Open site (reuse),xReuse,PReuse_qoa2_OpenSite,,,,y
PWeb_VerifyTitle,2,Get page title,xUI,xGetTitle,,page_title,qoa2,n
PWeb_VerifyNav,1,Open site (reuse),xReuse,PReuse_qoa2_OpenSite,,,,y
PWeb_VerifyNav,2,Verify nav bar,xUI,xGetText,nav_locator,,,y
