PlanId,StepId,StepInfo,ActionType,ActionName,Input,Output,Expected,Critical
PReuse_qoa_web_OpenSite,1,Open browser,xUI,xOpenBrowser,edge,,,y
PReuse_qoa_web_OpenSite,2,Navigate to BRAHL Web,xUI,xNavigate,base_url,,,y
PReuse_qoa_web_OpenSite,3,Verify page body,xUI,xGetText,body_locator,,,y
PReuse_qoa_web_ClientReady,1,Open browser session,xReuse,PReuse_qoa_web_OpenSite,,,,y
PReuse_qoa_web_ClientReady,2,Choose Client on gate,xUI,xClick,avatar_client_choice_btn,,,y
PReuse_qoa_web_ClientReady,3,Verify project in topbar,xUI,xGetText,topbar_project_name_locator,,qoa_web Local,y
PReuse_qoa_web_HitlReady,1,Open browser session,xReuse,PReuse_qoa_web_OpenSite,,,,y
PReuse_qoa_web_HitlReady,2,Reset session for HITL gate,xUI,xNavigate,fresh_url,,,y
PReuse_qoa_web_HitlReady,3,Choose HITL on avatar gate,xUI,xClick,avatar_hitl_choice_btn,,,y
PReuse_qoa_web_HitlReady,4,Click Build tab,xUI,xClick,nav_build_btn,,,y
PReuse_qoa_web_HitlReady,5,Verify HITL workspace,xUI,xGetText,build_hitl_heading_locator,,Build — Human in the Loop,y
PWeb_OpenHome,1,Open browser session,xReuse,PReuse_qoa_web_OpenSite,,,,y
PWeb_OpenHome,2,Navigate home,xUI,xNavigate,base_url,,,y
PWeb_OpenHome,3,Verify body loaded,xUI,xGetText,body_locator,,,y
PWeb_VerifyTitle,1,Open browser session,xReuse,PReuse_qoa_web_OpenSite,,,,y
PWeb_VerifyTitle,2,Navigate home,xUI,xNavigate,base_url,,,y
PWeb_VerifyTitle,3,Verify app title element,xUI,xGetText,app_title_locator,,,y
PWeb_Tagline,1,Open browser session,xReuse,PReuse_qoa_web_OpenSite,,,,y
PWeb_Tagline,2,Navigate home,xUI,xNavigate,base_url,,,y
PWeb_Tagline,3,Verify tagline text,xUI,xGetText,tagline_locator,,,y
PWeb_Nav_SixPhases,1,Client ready session,xReuse,PReuse_qoa_web_ClientReady,,,,y
PWeb_Nav_SixPhases,2,Verify Build nav,xUI,xGetText,nav_build_locator,,Build,y
PWeb_Nav_SixPhases,3,Verify Run nav,xUI,xGetText,nav_run_locator,,Run,y
PWeb_Nav_SixPhases,4,Verify Analyze nav,xUI,xGetText,nav_analyze_locator,,Analyze,y
PWeb_Nav_SixPhases,5,Verify Heal nav,xUI,xGetText,nav_heal_locator,,Heal,y
PWeb_Nav_SixPhases,6,Verify Loop nav,xUI,xGetText,nav_loop_locator,,Loop,y
