Type,DataName,D1,D2,D3,D4,D5,D6,D7,D8,D9
UI,profile_url,http://127.0.0.1:8765/app?reset=1&profile=p1&suite=qoa_web&demo=1,http://127.0.0.1:8765/app?reset=1&profile=p2&suite=qoa_web&demo=1,http://127.0.0.1:8765/app?reset=1&profile=p3&suite=qoa_web&demo=1,http://127.0.0.1:8765/app?reset=1&profile=p4&suite=qoa_web&demo=1,http://127.0.0.1:8765/app?reset=1&profile=p5&suite=qoa_web&demo=1,http://127.0.0.1:8765/app?reset=1&profile=p6&suite=qoa_web&demo=1,http://127.0.0.1:8765/app?reset=1&profile=p7&suite=qoa_web&demo=1,http://127.0.0.1:8765/app?reset=1&profile=p8&suite=qoa_web&demo=1,http://127.0.0.1:8765/app?reset=1&profile=p9&suite=qoa_web&demo=1
UI,persona_id,p1,p2,p3,p4,p5,p6,p7,p8,p9
UI,persona_code,P1,P2,P3,P4,P5,P6,P7,P8,P9
UI,persona_name,Alex Chen,Jordan Lee,Sam Rivera,Dr. Priya Nair,Chris Martinez,Morgan Admin,Taylor Kim,Riley Okonkwo,Casey Nguyen
UI,default_avatar,client,client,consultant,consultant,client,client,client,consultant,client
UI,can_switch_client,Y,Y,N,N,Y,Y,Y,N,Y
UI,can_switch_hitl,N,Y,Y,Y,N,Y,N,Y,N
UI,signin_url,http://127.0.0.1:8765/signin,http://127.0.0.1:8765/signin,http://127.0.0.1:8765/signin,http://127.0.0.1:8765/signin,http://127.0.0.1:8765/signin,http://127.0.0.1:8765/signin,http://127.0.0.1:8765/signin,http://127.0.0.1:8765/signin,http://127.0.0.1:8765/signin
UI,signin_card_btn,"css=[data-profile-id=""p1""] .signin-select","css=[data-profile-id=""p2""] .signin-select","css=[data-profile-id=""p3""] .signin-select","css=[data-profile-id=""p4""] .signin-select","css=[data-profile-id=""p5""] .signin-select","css=[data-profile-id=""p6""] .signin-select","css=[data-profile-id=""p7""] .signin-select","css=[data-profile-id=""p8""] .signin-select","css=[data-profile-id=""p9""] .signin-select"
UI,persona_tasks_source,Docs/test-user-data/,Docs/test-user-data/,Docs/test-user-data/,Docs/test-user-data/,Docs/test-user-data/,Docs/test-user-data/,Docs/test-user-data/,Docs/test-user-data/,Docs/test-user-data/
UI,fresh_url,http://127.0.0.1:8765/app?reset=1&demo=1,http://127.0.0.1:8765/app?reset=1&demo=1,http://127.0.0.1:8765/app?reset=1&demo=1,http://127.0.0.1:8765/app?reset=1&demo=1,http://127.0.0.1:8765/app?reset=1&demo=1,http://127.0.0.1:8765/app?reset=1&demo=1,http://127.0.0.1:8765/app?reset=1&demo=1,http://127.0.0.1:8765/app?reset=1&demo=1,http://127.0.0.1:8765/app?reset=1&demo=1
UI,base_url,http://127.0.0.1:8765/app/?demo=1,http://127.0.0.1:8765/app/?demo=1,http://127.0.0.1:8765/app/?demo=1,http://127.0.0.1:8765/app/?demo=1,http://127.0.0.1:8765/app/?demo=1,http://127.0.0.1:8765/app/?demo=1,http://127.0.0.1:8765/app/?demo=1,http://127.0.0.1:8765/app/?demo=1,http://127.0.0.1:8765/app/?demo=1
