PlanId,StepId,StepInfo,ActionType,ActionName,Input,Output,Expected,Critical
PReuse_sunshine_OpenSite,1,Open browser,xUI,xOpenBrowser,edge,,,y
PReuse_sunshine_OpenSite,2,Navigate to Sunshine,xUI,xNavigate,base_url,,,y
PReuse_sunshine_OpenSite,3,Verify page body,xUI,xGetText,body_locator,,,y
PReuse_sunshine_Home,1,Open browser session,xReuse,PReuse_sunshine_OpenSite,,,,y
PReuse_sunshine_Home,2,Ensure on home page,xUI,xNavigate,base_url,,,y
PReuse_sunshine_Admin,1,Open site (reuse),xReuse,PReuse_sunshine_OpenSite,,,,y
PReuse_sunshine_Admin,2,Click Store Admin,xUI,xClick,store_admin_btn_locator,,,y
PReuse_sunshine_Admin,3,Enter admin PIN,xUI,xType,admin_password;admin_pin_input_locator,,,y
PReuse_sunshine_Admin,4,Submit admin access,xUI,xClick,admin_unlock_btn_locator,,,y
PReuse_sunshine_Admin,5,Verify post-PIN gate,xUI,xGetText,admin_post_pin_locator,,,y
PWeb_Admin_Store_Access,1,Open browser session,xReuse,PReuse_sunshine_OpenSite,,,,y
PWeb_Admin_Store_Access,2,Reset to home page,xUI,xNavigate,base_url,,,y
PWeb_Admin_Store_Access,3,Click Store Admin,xUI,xClick,store_admin_btn_locator,,,y
PWeb_Admin_Store_Access,4,Enter admin PIN,xUI,xType,admin_password;admin_pin_input_locator,,,y
PWeb_Admin_Store_Access,5,Submit admin access,xUI,xClick,admin_unlock_btn_locator,,,y
PWeb_Admin_Store_Access,6,Verify post-PIN gate,xUI,xGetText,admin_post_pin_locator,,,y
PWeb_Admin_Dashboard,1,Navigate to login gate,xUI,xNavigate,login_url,,,y
PWeb_Admin_Dashboard,2,Verify post-PIN login gate,xUI,xGetText,login_welcome_locator,,,y
PWeb_OpenLanding,1,Open browser session,xReuse,PReuse_sunshine_OpenSite,,,,y
PWeb_OpenLanding,2,Reset to home page,xUI,xNavigate,base_url,,,y
PWeb_OpenLanding,3,Verify body loaded,xUI,xGetText,body_locator,,,y
PWeb_VerifyTitle,1,Open browser session,xReuse,PReuse_sunshine_OpenSite,,,,y
PWeb_VerifyTitle,2,Reset to home page,xUI,xNavigate,base_url,,,y
PWeb_VerifyTitle,3,Get page title,xUI,xGetTitle,,page_title,,n
PWeb_VerifyNav,1,Open browser session,xReuse,PReuse_sunshine_OpenSite,,,,y
PWeb_VerifyNav,2,Reset to home page,xUI,xNavigate,base_url,,,y
PWeb_VerifyNav,3,Verify nav bar,xUI,xGetText,nav_locator,,,y
PWeb_Home_Hero,1,Open browser session,xReuse,PReuse_sunshine_OpenSite,,,,y
PWeb_Home_Hero,2,Reset to home page,xUI,xNavigate,base_url,,,y
PWeb_Home_Hero,3,Verify hero heading,xUI,xGetText,home_hero_locator,,,y
PWeb_Ordering_Flow,1,Open browser session,xReuse,PReuse_sunshine_OpenSite,,,,y
PWeb_Ordering_Flow,2,Reset to home page,xUI,xNavigate,base_url,,,y
PWeb_Ordering_Flow,3,Verify ordering flow section,xUI,xGetText,ordering_flow_locator,,,y
PWeb_Nav_Shop,1,Open browser session,xReuse,PReuse_sunshine_OpenSite,,,,y
PWeb_Nav_Shop,2,Reset to home page,xUI,xNavigate,base_url,,,y
PWeb_Nav_Shop,3,Click shop nav link,xUI,xClick,nav_shop_locator,,,y
PWeb_Nav_Shop,4,Verify guest gate or shop loaded,xUI,xGetText,body_locator,,,y
PWeb_Nav_Salon,1,Open browser session,xReuse,PReuse_sunshine_OpenSite,,,,y
PWeb_Nav_Salon,2,Reset to home page,xUI,xNavigate,base_url,,,y
PWeb_Nav_Salon,3,Click salon nav link,xUI,xClick,nav_salon_locator,,,y
PWeb_Nav_Salon,4,Verify salon gate loaded,xUI,xGetText,guest_gate_heading_locator,,,y
PWeb_Nav_Track,1,Open browser session,xReuse,PReuse_sunshine_OpenSite,,,,y
PWeb_Nav_Track,2,Reset to home page,xUI,xNavigate,base_url,,,y
PWeb_Nav_Track,3,Click track nav link,xUI,xClick,nav_track_locator,,,y
PWeb_Nav_Track,4,Verify track page heading,xUI,xGetText,track_heading_locator,,,y
PWeb_Nav_About,1,Open browser session,xReuse,PReuse_sunshine_OpenSite,,,,y
PWeb_Nav_About,2,Reset to home page,xUI,xNavigate,base_url,,,y
PWeb_Nav_About,3,Click about nav link,xUI,xClick,nav_about_locator,,,y
PWeb_Nav_About,4,Verify about heading,xUI,xGetText,about_heading_locator,,,y
PWeb_Home_Order_CTA,1,Open browser session,xReuse,PReuse_sunshine_OpenSite,,,,y
PWeb_Home_Order_CTA,2,Reset to home page,xUI,xNavigate,base_url,,,y
PWeb_Home_Order_CTA,3,Navigate to shop,xUI,xNavigate,shop_url,,,y
PWeb_Home_Order_CTA,4,Verify shop gate,xUI,xGetText,guest_gate_heading_locator,,,y
PWeb_Home_Salon_CTA,1,Open browser session,xReuse,PReuse_sunshine_OpenSite,,,,y
PWeb_Home_Salon_CTA,2,Reset to home page,xUI,xNavigate,base_url,,,y
PWeb_Home_Salon_CTA,3,Navigate to salon,xUI,xNavigate,salon_url,,,y
PWeb_Home_Salon_CTA,4,Verify salon gate,xUI,xGetText,guest_gate_heading_locator,,,y
PWeb_Shop_Guest_Gate,1,Navigate to shop,xUI,xNavigate,shop_url,,,y
PWeb_Shop_Guest_Gate,2,Verify guest gate heading,xUI,xGetText,guest_gate_heading_locator,,,y
PWeb_Shop_Guest_Gate,3,Verify sign in option,xUI,xGetText,body_locator,,,y
PWeb_Shop_Continue_Guest,1,Navigate to shop,xUI,xNavigate,shop_url,,,y
PWeb_Shop_Continue_Guest,2,Click continue as guest,xUI,xClick,continue_guest_btn_locator,,,y
PWeb_Shop_Continue_Guest,3,Verify past guest gate,xUI,xGetText,body_locator,,,y
PWeb_Salon_Guest_Gate,1,Navigate to salon,xUI,xNavigate,salon_url,,,y
PWeb_Salon_Guest_Gate,2,Verify guest gate heading,xUI,xGetText,guest_gate_heading_locator,,,y
PWeb_Track_Page,1,Navigate to track,xUI,xNavigate,track_url,,,y
PWeb_Track_Page,2,Verify track heading,xUI,xGetText,track_heading_locator,,,y
PWeb_Track_Page,3,Verify track input present,xUI,xGetText,track_input_locator,,,y
PWeb_Track_Invalid_Order,1,Navigate to track,xUI,xNavigate,track_url,,,y
PWeb_Track_Invalid_Order,2,Enter invalid order number,xUI,xType,invalid_order_number;track_input_locator,,,y
PWeb_Track_Invalid_Order,3,Click track button,xUI,xClick,track_submit_btn_locator,,,y
PWeb_Track_Invalid_Order,4,Verify page still loaded,xUI,xGetText,body_locator,,,y
